A6,Counts
ENSDARG00000003293,58
ENSDARG00000003303,0
ENSDARG00000003307,13
ENSDARG00000003308,44
ENSDARG00000003311,25
ENSDARG00000003313,11
ENSDARG00000003320,19
ENSDARG00000003326,0
ENSDARG00000003328,10
ENSDARG00000003344,0
ENSDARG00000003373,3
ENSDARG00000003375,5
ENSDARG00000003380,0
ENSDARG00000003381,11
ENSDARG00000003382,13
ENSDARG00000003383,25
ENSDARG00000003395,6
ENSDARG00000003398,9
ENSDARG00000003399,0
ENSDARG00000003403,33
ENSDARG00000003411,28
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,31
ENSDARG00000003429,66
ENSDARG00000003444,9
ENSDARG00000003446,21
ENSDARG00000003449,15
ENSDARG00000003462,56
ENSDARG00000003469,14
ENSDARG00000003475,0
ENSDARG00000003486,62
ENSDARG00000003487,36
ENSDARG00000003495,25
ENSDARG00000003512,53
ENSDARG00000003517,8
ENSDARG00000003519,3
ENSDARG00000003520,21
ENSDARG00000003523,8
ENSDARG00000003526,48
ENSDARG00000003527,16
ENSDARG00000003531,29
ENSDARG00000003533,5
ENSDARG00000003544,19
ENSDARG00000003553,0
ENSDARG00000003564,6
ENSDARG00000003570,120
ENSDARG00000003573,28
ENSDARG00000003576,2
ENSDARG00000003584,1
ENSDARG00000003592,1
ENSDARG00000003599,1110
ENSDARG00000003607,19
ENSDARG00000003615,19
ENSDARG00000003616,9
ENSDARG00000003631,65
ENSDARG00000003632,0
ENSDARG00000003635,13
ENSDARG00000003641,7
ENSDARG00000003642,18
ENSDARG00000003655,97
ENSDARG00000003675,0
ENSDARG00000003680,93
ENSDARG00000003681,170
ENSDARG00000003684,30
ENSDARG00000003693,13
ENSDARG00000003695,220
ENSDARG00000003697,2
ENSDARG00000003699,14
ENSDARG00000003701,1
ENSDARG00000003705,54
ENSDARG00000003706,5
ENSDARG00000003732,3
ENSDARG00000003749,6
ENSDARG00000003750,5
ENSDARG00000003751,36
ENSDARG00000003754,11
ENSDARG00000003757,7
ENSDARG00000003769,10
ENSDARG00000003776,20
ENSDARG00000003779,31
ENSDARG00000003789,39
ENSDARG00000003795,434
ENSDARG00000003797,3
ENSDARG00000003803,8
ENSDARG00000003808,25
ENSDARG00000003811,122
ENSDARG00000003818,26
ENSDARG00000003820,29
ENSDARG00000003822,0
ENSDARG00000003827,5
ENSDARG00000003829,48
ENSDARG00000003835,149
ENSDARG00000003841,1
ENSDARG00000003845,13
ENSDARG00000003846,3
ENSDARG00000003854,116
ENSDARG00000003860,29
ENSDARG00000003865,9
ENSDARG00000003866,36
ENSDARG00000003867,11
ENSDARG00000003869,18
ENSDARG00000003872,10
ENSDARG00000003877,23
ENSDARG00000003899,0
ENSDARG00000003900,1
ENSDARG00000003902,89
ENSDARG00000003903,0
ENSDARG00000003904,12
ENSDARG00000003909,3
ENSDARG00000003910,29
ENSDARG00000003920,71
ENSDARG00000003925,0
ENSDARG00000003927,34
ENSDARG00000003931,60
ENSDARG00000003934,5
ENSDARG00000003938,39
ENSDARG00000003940,36
ENSDARG00000003941,15
ENSDARG00000003944,0
ENSDARG00000003952,150
ENSDARG00000003961,8
ENSDARG00000003963,8
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,5
ENSDARG00000003971,28
ENSDARG00000003973,4
ENSDARG00000003974,13
ENSDARG00000003977,2
ENSDARG00000003984,37
ENSDARG00000003989,13
ENSDARG00000003991,15
ENSDARG00000003994,15
ENSDARG00000003998,19
ENSDARG00000004015,1
ENSDARG00000004017,7
ENSDARG00000004018,13
ENSDARG00000004023,47
ENSDARG00000004034,16
ENSDARG00000004037,14
ENSDARG00000004046,5
ENSDARG00000004049,11
ENSDARG00000004051,4
ENSDARG00000004055,45
ENSDARG00000004059,1
ENSDARG00000004060,254
ENSDARG00000004074,49
ENSDARG00000004078,34
ENSDARG00000004082,5
ENSDARG00000004094,50
ENSDARG00000004105,31
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,3
ENSDARG00000004115,24
ENSDARG00000004130,4
ENSDARG00000004131,6
ENSDARG00000004132,82
ENSDARG00000004150,6
