Identifier,TGSH-10ug/L-A
ENSDARG00000054799,16
ENSDARG00000116939,0
ENSDARG00000037350,1625
ENSDARG00000022845,9
ENSDARG00000019838,26
ENSDARG00000005799,11
ENSDARG00000013505,28
ENSDARG00000055022,22
ENSDARG00000061451,10
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,5
ENSDARG00000055099,28
ENSDARG00000070109,13
ENSDARG00000070098,34
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,48
ENSDARG00000083023,0
ENSDARG00000031108,56
ENSDARG00000015266,67
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,1329
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,4
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,14
ENSDARG00000037309,6
ENSDARG00000054334,7
ENSDARG00000116715,0
ENSDARG00000060994,2
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,2
ENSDARG00000079434,30
ENSDARG00000031817,3
ENSDARG00000074812,4
ENSDARG00000070055,16
ENSDARG00000070050,16
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,10
ENSDARG00000037281,95
ENSDARG00000037278,4
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,9
ENSDARG00000013787,9
ENSDARG00000086790,4
ENSDARG00000006427,452
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,16
ENSDARG00000077157,19
ENSDARG00000037256,5
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,12
ENSDARG00000021702,64
ENSDARG00000054031,34
ENSDARG00000037259,76
ENSDARG00000037260,8
ENSDARG00000037261,21
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,15
ENSDARG00000107180,0
ENSDARG00000076928,59
ENSDARG00000009685,5
ENSDARG00000079377,2
ENSDARG00000091678,8
ENSDARG00000014790,49
ENSDARG00000019581,32
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,10
ENSDARG00000023330,83
ENSDARG00000096667,8
ENSDARG00000037245,5
ENSDARG00000096554,7
ENSDARG00000079266,0
ENSDARG00000023600,57
ENSDARG00000033345,4
ENSDARG00000069989,50
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,27
ENSDARG00000069996,16
ENSDARG00000100083,20
ENSDARG00000031632,2
ENSDARG00000101474,13
ENSDARG00000104710,3
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,25
ENSDARG00000112052,0
ENSDARG00000089334,0
ENSDARG00000053456,14
ENSDARG00000053466,17
ENSDARG00000053463,12
ENSDARG00000037109,15
ENSDARG00000096538,0
ENSDARG00000005739,32
ENSDARG00000053496,14
ENSDARG00000053500,11
ENSDARG00000053502,6
ENSDARG00000035080,0
ENSDARG00000037100,2
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,2
ENSDARG00000078546,2
ENSDARG00000037099,24
ENSDARG00000060620,3
ENSDARG00000075858,0
ENSDARG00000096592,1
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,18
ENSDARG00000095590,0
ENSDARG00000031202,7
ENSDARG00000037144,4
ENSDARG00000037177,54
ENSDARG00000003866,53
ENSDARG00000037178,2
ENSDARG00000028982,27
ENSDARG00000055839,0
ENSDARG00000060477,12
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,25
ENSDARG00000026771,12
ENSDARG00000096632,55
ENSDARG00000099758,42
ENSDARG00000093065,4
ENSDARG00000074302,0
ENSDARG00000003142,14
ENSDARG00000096668,17
ENSDARG00000042688,0
ENSDARG00000060559,7
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,41
ENSDARG00000092278,0
ENSDARG00000019715,6
ENSDARG00000017174,0
ENSDARG00000069946,36
ENSDARG00000074575,45
ENSDARG00000069951,15
ENSDARG00000069953,2
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,7
ENSDARG00000039616,1
ENSDARG00000095941,3
ENSDARG00000018611,1
ENSDARG00000053269,12
ENSDARG00000039615,1
ENSDARG00000060501,3
ENSDARG00000039613,2
ENSDARG00000029751,1
ENSDARG00000027572,7
ENSDARG00000078733,8
ENSDARG00000058231,32
ENSDARG00000053248,17
ENSDARG00000012896,20
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,6
ENSDARG00000107292,0
ENSDARG00000079455,25
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,21
ENSDARG00000074815,16
ENSDARG00000033380,0
ENSDARG00000051975,35
ENSDARG00000079280,19
ENSDARG00000053586,34
ENSDARG00000002190,49
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,30
ENSDARG00000012763,17
ENSDARG00000013023,3
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,16
ENSDARG00000081597,0
ENSDARG00000032056,18
ENSDARG00000074860,19
ENSDARG00000053542,16
ENSDARG00000094556,0
ENSDARG00000053535,2
ENSDARG00000111052,0
ENSDARG00000015312,12
ENSDARG00000015506,20
ENSDARG00000013006,3
ENSDARG00000108956,0
ENSDARG00000058287,21
ENSDARG00000069910,17
ENSDARG00000109513,0
ENSDARG00000092693,1080
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,3
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,4
ENSDARG00000037018,30
ENSDARG00000074677,1
ENSDARG00000094485,1
ENSDARG00000060397,41
ENSDARG00000094648,0
ENSDARG00000027199,19
ENSDARG00000115856,0
ENSDARG00000060383,6
ENSDARG00000037002,0
ENSDARG00000076171,59
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,56
ENSDARG00000069737,37
ENSDARG00000095555,0
ENSDARG00000011876,10
ENSDARG00000078789,20
ENSDARG00000036755,3
ENSDARG00000078326,24
ENSDARG00000102082,1
ENSDARG00000081340,0
ENSDARG00000034093,9
ENSDARG00000102787,26
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,3
ENSDARG00000074989,17
ENSDARG00000076343,0
ENSDARG00000077519,1
ENSDARG00000040048,16
ENSDARG00000082660,0
ENSDARG00000057303,30
ENSDARG00000113575,0
ENSDARG00000029722,351
ENSDARG00000008305,9
ENSDARG00000117649,0
ENSDARG00000007477,9
ENSDARG00000053106,3
ENSDARG00000012016,6
ENSDARG00000011066,12
ENSDARG00000004621,461
ENSDARG00000095811,0
ENSDARG00000075098,3
ENSDARG00000053222,20
ENSDARG00000089976,25
ENSDARG00000069640,1
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,139
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,2
ENSDARG00000085746,0
ENSDARG00000007387,18
ENSDARG00000024828,15
ENSDARG00000070162,93
ENSDARG00000104907,16
ENSDARG00000080987,1
ENSDARG00000079183,1
ENSDARG00000104437,53
ENSDARG00000103145,7
ENSDARG00000069701,0
ENSDARG00000020857,3
ENSDARG00000093120,7
ENSDARG00000074662,0
ENSDARG00000076585,9
ENSDARG00000079631,3
ENSDARG00000018587,2
ENSDARG00000078182,0
ENSDARG00000095065,1
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,9
ENSDARG00000031435,248
ENSDARG00000077874,2
ENSDARG00000069710,0
ENSDARG00000079552,5
ENSDARG00000087333,17
ENSDARG00000009315,32
ENSDARG00000030368,17
ENSDARG00000117231,10
ENSDARG00000117450,2
ENSDARG00000117485,21
ENSDARG00000117707,7
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,1
ENSDARG00000074600,4
ENSDARG00000075521,4
ENSDARG00000095566,0
ENSDARG00000007941,19
ENSDARG00000095651,3
ENSDARG00000069669,1
ENSDARG00000108025,0
ENSDARG00000033604,25
ENSDARG00000060236,1
ENSDARG00000036774,14
ENSDARG00000109727,0
ENSDARG00000052866,22
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,2
ENSDARG00000008706,156
ENSDARG00000078108,0
ENSDARG00000075639,6
ENSDARG00000078016,2
ENSDARG00000092551,5
ENSDARG00000075194,10
ENSDARG00000098598,0
ENSDARG00000060252,7
ENSDARG00000078908,8
ENSDARG00000036965,15
ENSDARG00000036967,57
ENSDARG00000060264,11
ENSDARG00000024101,7
ENSDARG00000107253,0
ENSDARG00000024785,33
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,28
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,216
ENSDARG00000052703,9
ENSDARG00000052700,3
ENSDARG00000052696,16
ENSDARG00000075112,1
ENSDARG00000029898,13
ENSDARG00000092730,5
ENSDARG00000078622,1
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,1
ENSDARG00000117756,1
ENSDARG00000074476,0
ENSDARG00000087178,2
ENSDARG00000095949,1
ENSDARG00000076277,0
ENSDARG00000075916,5
ENSDARG00000078558,0
ENSDARG00000052019,9
ENSDARG00000101106,12
ENSDARG00000103871,14
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,2
ENSDARG00000052016,20
ENSDARG00000059682,1
ENSDARG00000078233,51
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,15
ENSDARG00000069114,0
ENSDARG00000014803,46
ENSDARG00000016793,472
ENSDARG00000052012,4
ENSDARG00000083573,0
ENSDARG00000016263,28
ENSDARG00000095781,0
ENSDARG00000007786,17
ENSDARG00000009472,26
ENSDARG00000111774,0
ENSDARG00000037748,20
ENSDARG00000002840,51
ENSDARG00000079632,29
ENSDARG00000016994,8
ENSDARG00000029718,7
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,1
ENSDARG00000051986,65
ENSDARG00000051981,6
ENSDARG00000059653,14
ENSDARG00000016835,11
ENSDARG00000094133,57
ENSDARG00000093997,9
ENSDARG00000093289,0
ENSDARG00000078659,48
ENSDARG00000093954,1
ENSDARG00000031836,18
ENSDARG00000117392,0
ENSDARG00000098263,2
ENSDARG00000105005,0
ENSDARG00000030972,15
ENSDARG00000051970,3
ENSDARG00000019778,1573
ENSDARG00000051965,0
ENSDARG00000087426,23
ENSDARG00000069559,15
ENSDARG00000093347,3
ENSDARG00000069566,5
ENSDARG00000095108,0
ENSDARG00000006588,73
ENSDARG00000006225,38
ENSDARG00000052766,9
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,2
ENSDARG00000025518,7
ENSDARG00000105481,0
ENSDARG00000092240,10
ENSDARG00000030376,15
ENSDARG00000069619,100
ENSDARG00000030656,45
ENSDARG00000114294,0
ENSDARG00000032340,7
ENSDARG00000026068,27
ENSDARG00000002285,14
ENSDARG00000069595,9
ENSDARG00000060187,0
ENSDARG00000060184,14
ENSDARG00000113491,0
ENSDARG00000008279,2
ENSDARG00000010773,26
ENSDARG00000025233,2
ENSDARG00000016548,95
ENSDARG00000073848,21
ENSDARG00000052677,0
ENSDARG00000117377,2
ENSDARG00000008131,14
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,56
ENSDARG00000095860,1
ENSDARG00000029133,35
ENSDARG00000075859,4
ENSDARG00000070858,1
ENSDARG00000036658,54
ENSDARG00000036650,3
ENSDARG00000036645,5
ENSDARG00000036637,3
ENSDARG00000036636,6
ENSDARG00000052641,71
ENSDARG00000052624,8
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,2
ENSDARG00000095507,0
ENSDARG00000094160,3
ENSDARG00000036549,76
ENSDARG00000036546,3
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,1
ENSDARG00000089853,2
ENSDARG00000000086,16
ENSDARG00000026902,7
ENSDARG00000036592,3
ENSDARG00000001470,7
ENSDARG00000086877,5
ENSDARG00000069471,33
ENSDARG00000036588,32
ENSDARG00000036587,17
ENSDARG00000043271,0
ENSDARG00000036687,33
ENSDARG00000069450,0
ENSDARG00000015076,1
ENSDARG00000015559,7
ENSDARG00000076773,3
ENSDARG00000007734,3
ENSDARG00000060148,28
ENSDARG00000069438,25
ENSDARG00000083014,0
ENSDARG00000069435,4
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,13
ENSDARG00000112034,1
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,1
ENSDARG00000096031,13
ENSDARG00000036008,27
ENSDARG00000008886,4
ENSDARG00000094465,0
ENSDARG00000052468,1
ENSDARG00000018325,11
ENSDARG00000096003,131
ENSDARG00000052480,37
ENSDARG00000022891,23
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,87
ENSDARG00000082615,0
ENSDARG00000012574,41
ENSDARG00000052512,2
ENSDARG00000079501,1
ENSDARG00000094063,0
ENSDARG00000031894,9
ENSDARG00000030765,66
ENSDARG00000026548,5
ENSDARG00000052520,4
ENSDARG00000036494,6
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,4
ENSDARG00000060036,66
ENSDARG00000076420,0
ENSDARG00000057099,1
ENSDARG00000014098,2
ENSDARG00000016818,1
ENSDARG00000010655,40
ENSDARG00000075785,2
ENSDARG00000075887,5
ENSDARG00000075564,23
ENSDARG00000117385,2
