.id,Probe.Id,BMD,BMDL,BMDU,fitPValue,logBMD
Analine,ENSDARG00000086173,3.7943,2.28365,6.30427,0.35665004235406,0.579131665823532
Analine,ENSDARG00000073786,3.7969,2.28477,6.30981,0.165056097994883,0.579429159157155
Analine,ENSDARG00000076371,3.81857,2.29345,6.35788,0.227983492510089,0.581900756267696
Analine,ENSDARG00000076865,3.82555,2.29718,6.3708,0.54022852417903,0.582693882572933
Analine,ENSDARG00000078434,3.83195,2.29938,6.386,0.319441622605667,0.583419833687884
Analine,ENSDARG00000109276,3.85644,2.30765,6.44469,0.214927739556384,0.586186578827902
Analine,ENSDARG00000061101,3.86833,2.31319,6.469,0.489293584978046,0.587523515841624
Analine,ENSDARG00000057792,3.90989,2.3298,6.56161,0.255649513006431,0.592164539220672
Analine,ENSDARG00000051891,3.94832,2.34472,6.64867,0.620346506154362,0.596412343744895
Analine,ENSDARG00000043480,3.96311,2.34987,6.6839,0.314283999498438,0.598036126770228
Analine,ENSDARG00000025912,4.11751,2.40845,7.03931,0.326724623329641,0.614634662593351
Analine,ENSDARG00000029353,4.13701,2.41557,7.08522,0.334960993126501,0.616686570675442
Analine,ENSDARG00000045269,4.20785,2.43905,7.25938,0.486931579291575,0.624060249840219
Analine,ENSDARG00000095304,4.20828,2.44204,7.25197,0.776205101126454,0.624104628106092
Analine,ENSDARG00000103789,4.37519,2.50284,7.64824,0.234273259548728,0.640996917737724
Analine,ENSDARG00000117253,4.43271,2.51984,7.79768,0.386809205314795,0.646669319497054
Analine,ENSDARG00000117637,4.48644,2.53561,7.9382,0.469285184195075,0.651901864031019
Analine,ENSDARG00000071697,4.51345,2.54677,7.99884,0.596700264988288,0.654508635708053
Analine,ENSDARG00000033382,4.55729,2.56156,8.10793,0.157832595380984,0.658706665491038
Analine,ENSDARG00000104687,4.56194,2.5627,8.12084,0.119358203833403,0.659149569007207
Analine,ENSDARG00000105012,4.97477,2.69009,9.19983,0.258819997536427,0.69677300668177
Analine,ENSDARG00000076716,5.00143,2.69927,9.26706,0.107247109300809,0.699094194799453
Analine,ENSDARG00000021924,5.05955,2.71325,9.43483,0.978870321055414,0.704111892095223
Analine,ENSDARG00000058943,5.20111,2.75284,9.82678,0.226577555143577,0.716096038909966
Analine,ENSDARG00000103973,5.20412,2.75292,9.83786,0.771476668321582,0.716347302250995
Analine,ENSDARG00000067668,5.26469,2.76888,10.0102,0.255015450481353,0.721372803773538
Analine,ENSDARG00000056780,5.31562,2.7834,10.1515,0.165635334428862,0.725553926785022
Analine,ENSDARG00000073936,5.71477,2.87819,11.3469,0.979123982822536,0.756998756211461
Analine,ENSDARG00000089953,5.93323,2.92363,12.0409,0.150765326644559,0.773291183967785
Analine,ENSDARG00000067665,6.1159,2.96212,12.6275,0.243015135808485,0.786460375726018
Analine,ENSDARG00000075151,6.37665,3.00679,13.5233,0.394874308602225,0.804592580192502
Decanol,ENSDARG00000046014,0.000347135,0.0000582146,0.00206997,0.982370691542322,-3.45950159623768
Decanol,ENSDARG00000053127,0.000407257,0.0000705291,0.00235163,0.16438693451174,-3.39013144223063
Decanol,ENSDARG00000029766,0.000492343,0.000101754,0.00238223,0.107102060438478,-3.30773223238244
Decanol,ENSDARG00000039958,0.000527164,0.0000900152,0.00308728,0.866370576274451,-3.27805425534724
Decanol,ENSDARG00000091260,0.000666475,0.000293585,0.00151298,0.176228716455149,-3.17621613667125
Decanol,ENSDARG00000040432,0.000674683,0.00015043,0.00302596,0.483074098216611,-3.17090023263292
Decanol,ENSDARG00000091209,0.000721765,0.0001429,0.00364552,0.530289114195298,-3.14160418167719
Decanol,ENSDARG00000088440,0.000940186,0.000185536,0.0047643,0.195441363095575,-3.02678622003568
Decanol,ENSDARG00000036414,0.00101609,0.000272527,0.00378841,0.461033618815895,-2.99306782278804
Decanol,ENSDARG00000062995,0.00102541,0.000248567,0.00423007,0.392220613838755,-2.98910245154976
Decanol,ENSDARG00000041252,0.00112946,0.000277404,0.00459862,0.957137396937056,-2.94712914507729
Decanol,ENSDARG00000099091,0.00116066,0.000254377,0.00529578,0.57384859953908,-2.93529498245719
Decanol,ENSDARG00000037260,0.00120341,0.000234084,0.0061867,0.682323093541998,-2.91958638396388
Decanol,ENSDARG00000070651,0.00126843,0.000495919,0.00324429,0.216216142894633,-2.89673349490072
Decanol,ENSDARG00000005690,0.00129393,0.000228304,0.00733339,0.963671140826473,-2.88808921782191
Decanol,ENSDARG00000056587,0.0015883,0.000293265,0.00860215,0.972271501226467,-2.79906746410081
Decanol,ENSDARG00000077473,0.00162827,0.000346068,0.00766106,0.712626229128674,-2.78827357869278
Decanol,ENSDARG00000061923,0.00173249,0.000835402,0.00359291,0.718171938855706,-2.76132926347365
Decanol,ENSDARG00000089885,0.00221081,0.000372023,0.0131381,0.971836170773812,-2.65544857967241
Decanol,ENSDARG00000091252,0.00279612,0.00051414,0.0152065,0.779564168929439,-2.55344419407818
Decanol,ENSDARG00000054184,0.00310115,0.000492271,0.0195363,0.377881872297183,-2.50847722679822
Decanol,ENSDARG00000040278,0.003323,0.000577835,0.0191098,0.341756798878203,-2.47846965872129
Decanol,ENSDARG00000077264,0.00348228,0.000944291,0.0128417,0.257666500952409,-2.45813631145937
Decanol,ENSDARG00000097445,0.00417341,0.000858076,0.0202981,0.537329586920963,-2.37950894766527
Decanol,ENSDARG00000060246,0.00424868,0.000961574,0.0187726,0.994130971260296,-2.37174597765788
Decanol,ENSDARG00000038095,0.00443272,0.00112046,0.0175365,0.976131798144316,-2.35332970075468
