"gene","genecount"
"ENSDARG00000053535",26
"ENSDARG00000111052",0
"ENSDARG00000015312",22
"ENSDARG00000015506",303
"ENSDARG00000013006",45
"ENSDARG00000108956",0
"ENSDARG00000058287",13
"ENSDARG00000069910",63
"ENSDARG00000109513",0
"ENSDARG00000092693",1939
"ENSDARG00000084532",0
"ENSDARG00000085301",0
"ENSDARG00000081849",0
"ENSDARG00000082811",0
"ENSDARG00000095892",0
"ENSDARG00000095934",0
"ENSDARG00000079191",5
"ENSDARG00000105033",1
"ENSDARG00000102858",3
"ENSDARG00000093282",0
"ENSDARG00000101520",0
"ENSDARG00000075798",35
"ENSDARG00000037018",251
"ENSDARG00000074677",332
"ENSDARG00000094485",5
"ENSDARG00000060397",191
"ENSDARG00000094648",0
"ENSDARG00000027199",118
"ENSDARG00000115856",15
"ENSDARG00000060383",37
"ENSDARG00000037002",0
"ENSDARG00000076171",378
"ENSDARG00000112614",0
"ENSDARG00000113986",0
"ENSDARG00000036995",3
"ENSDARG00000069737",95
"ENSDARG00000095555",0
"ENSDARG00000011876",146
"ENSDARG00000078789",160
"ENSDARG00000036755",40
"ENSDARG00000078326",138
"ENSDARG00000102082",80
"ENSDARG00000081340",0
"ENSDARG00000034093",60
"ENSDARG00000102787",298
"ENSDARG00000082897",0
"ENSDARG00000074501",5
"ENSDARG00000090416",14
"ENSDARG00000074989",141
"ENSDARG00000076343",1
"ENSDARG00000077519",0
"ENSDARG00000040048",34
"ENSDARG00000082660",0
"ENSDARG00000057303",159
"ENSDARG00000113575",0
"ENSDARG00000029722",177
"ENSDARG00000008305",69
"ENSDARG00000117649",0
"ENSDARG00000007477",59
"ENSDARG00000053106",8
"ENSDARG00000012016",12
"ENSDARG00000011066",68
"ENSDARG00000004621",422
"ENSDARG00000095811",0
"ENSDARG00000075098",71
"ENSDARG00000053222",55
"ENSDARG00000089976",50
"ENSDARG00000069640",3
"ENSDARG00000104657",3
"ENSDARG00000117532",0
"ENSDARG00000085733",0
"ENSDARG00000005479",752
"ENSDARG00000110757",0
"ENSDARG00000085080",0
"ENSDARG00000093919",0
"ENSDARG00000036990",10
"ENSDARG00000085746",0
"ENSDARG00000007387",56
"ENSDARG00000024828",24
"ENSDARG00000070162",408
"ENSDARG00000104907",37
"ENSDARG00000080987",48
"ENSDARG00000079183",0
"ENSDARG00000104437",91
"ENSDARG00000103145",16
"ENSDARG00000069701",37
"ENSDARG00000020857",38
"ENSDARG00000093120",180
"ENSDARG00000074662",6
"ENSDARG00000076585",43
"ENSDARG00000079631",215
"ENSDARG00000018587",0
"ENSDARG00000078182",0
"ENSDARG00000095065",6
"ENSDARG00000109438",1
"ENSDARG00000074610",0
"ENSDARG00000069707",0
"ENSDARG00000078251",67
"ENSDARG00000008457",71
"ENSDARG00000031435",1180
"ENSDARG00000077874",3
"ENSDARG00000069710",4
"ENSDARG00000079552",101
"ENSDARG00000087333",386
"ENSDARG00000009315",184
"ENSDARG00000030368",319
"ENSDARG00000117231",20
"ENSDARG00000117450",50
"ENSDARG00000117485",122
"ENSDARG00000117707",22
"ENSDARG00000052899",0
"ENSDARG00000052900",0
"ENSDARG00000052895",0
"ENSDARG00000074600",5
"ENSDARG00000075521",97
"ENSDARG00000095566",0
"ENSDARG00000007941",48
"ENSDARG00000095651",13
"ENSDARG00000069669",21
"ENSDARG00000108025",0
"ENSDARG00000033604",142
"ENSDARG00000060236",29
"ENSDARG00000036774",176
"ENSDARG00000109727",0
"ENSDARG00000052866",596
"ENSDARG00000108028",0
"ENSDARG00000091911",0
"ENSDARG00000093237",24
"ENSDARG00000008706",75
"ENSDARG00000078108",18
"ENSDARG00000075639",36
"ENSDARG00000078016",60
"ENSDARG00000092551",0
"ENSDARG00000075194",25
"ENSDARG00000098598",0
"ENSDARG00000060252",117
"ENSDARG00000078908",66
"ENSDARG00000036965",18
"ENSDARG00000036967",177
"ENSDARG00000060264",1
"ENSDARG00000024101",75
"ENSDARG00000107253",0
"ENSDARG00000024785",89
"ENSDARG00000084202",0
"ENSDARG00000087061",0
"ENSDARG00000052713",247
"ENSDARG00000107073",0
"ENSDARG00000113563",0
"ENSDARG00000081405",0
"ENSDARG00000052712",1531
"ENSDARG00000052703",21
"ENSDARG00000052700",27
"ENSDARG00000052696",20
"ENSDARG00000075112",2
"ENSDARG00000029898",33
"ENSDARG00000092730",79
"ENSDARG00000078622",81
"ENSDARG00000074132",0
"ENSDARG00000075598",0
"ENSDARG00000117264",6
"ENSDARG00000094910",11
"ENSDARG00000117756",1
"ENSDARG00000074476",5
"ENSDARG00000087178",0
"ENSDARG00000095949",9
"ENSDARG00000076277",0
"ENSDARG00000075916",88
"ENSDARG00000078558",0
"ENSDARG00000052019",134
"ENSDARG00000101106",36
"ENSDARG00000103871",145
"ENSDARG00000089345",0
"ENSDARG00000099025",0
"ENSDARG00000098805",324
"ENSDARG00000052016",42
"ENSDARG00000059682",7
"ENSDARG00000078233",393
"ENSDARG00000104759",0
"ENSDARG00000075179",0
"ENSDARG00000104249",0
"ENSDARG00000111029",0
"ENSDARG00000105108",0
"ENSDARG00000112081",0
"ENSDARG00000109574",0
"ENSDARG00000115729",0
"ENSDARG00000116661",0
"ENSDARG00000111422",0
"ENSDARG00000111051",0
"ENSDARG00000112750",0
"ENSDARG00000113452",0
"ENSDARG00000069116",9
"ENSDARG00000069114",13
"ENSDARG00000014803",44
"ENSDARG00000016793",697
"ENSDARG00000052012",14
"ENSDARG00000083573",0
"ENSDARG00000016263",98
"ENSDARG00000095781",0
"ENSDARG00000007786",115
"ENSDARG00000009472",17
"ENSDARG00000111774",0
"ENSDARG00000037748",116
"ENSDARG00000002840",170
"ENSDARG00000079632",25
"ENSDARG00000016994",61
"ENSDARG00000029718",34
"ENSDARG00000051993",0
"ENSDARG00000092459",0
"ENSDARG00000094678",19
"ENSDARG00000051989",1
"ENSDARG00000095407",0
"ENSDARG00000051986",235
"ENSDARG00000051981",12
"ENSDARG00000059653",203
"ENSDARG00000016835",20
"ENSDARG00000094133",220
"ENSDARG00000093997",8
"ENSDARG00000093289",0
"ENSDARG00000078659",13
"ENSDARG00000093954",5
"ENSDARG00000031836",118
"ENSDARG00000117392",0
"ENSDARG00000098263",12
"ENSDARG00000105005",0
"ENSDARG00000030972",96
"ENSDARG00000051970",19
"ENSDARG00000019778",3383
"ENSDARG00000051965",59
"ENSDARG00000087426",18
"ENSDARG00000069559",198
"ENSDARG00000093347",1
"ENSDARG00000069566",6
"ENSDARG00000095108",0
"ENSDARG00000006588",104
"ENSDARG00000006225",387
"ENSDARG00000052766",37
"ENSDARG00000117778",0
"ENSDARG00000095463",0
"ENSDARG00000069632",1
"ENSDARG00000025518",44
"ENSDARG00000105481",0
"ENSDARG00000092240",47
"ENSDARG00000030376",122
"ENSDARG00000069619",299
"ENSDARG00000030656",302
"ENSDARG00000114294",0
"ENSDARG00000032340",15
"ENSDARG00000026068",34
"ENSDARG00000002285",69
"ENSDARG00000069595",211
"ENSDARG00000060187",0
"ENSDARG00000060184",188
"ENSDARG00000113491",0
"ENSDARG00000008279",47
"ENSDARG00000010773",294
"ENSDARG00000025233",4
"ENSDARG00000016548",541
"ENSDARG00000073848",153
"ENSDARG00000052677",0
"ENSDARG00000117377",0
"ENSDARG00000008131",25
"ENSDARG00000053340",3
"ENSDARG00000095834",0
"ENSDARG00000008413",400
"ENSDARG00000095860",0
"ENSDARG00000029133",66
"ENSDARG00000075859",153
"ENSDARG00000070858",3
"ENSDARG00000036658",488
"ENSDARG00000036650",24
"ENSDARG00000036645",25
"ENSDARG00000036637",0
"ENSDARG00000036636",3
"ENSDARG00000052641",359
