	C10	C11	C12	C7	C8	C9	C4	C5	C6	C1	C2	C3	B10	B11	B12	B7	B8	B9
100001035	23	0	0	23	16	7	4	2	9	12	2	0	0	0	6	16	6	1
100001092	46	0	0	24	2	3	0	4	2	19	3	1	0	4	31	41	13	15
100001114	185	6	22	481	536	85	246	99	285	426	182	173	42	185	138	512	114	306
100001116	9	1	4	37	39	6	3	2	0	35	3	10	2	13	47	48	8	12
100001119	77	0	23	219	153	55	80	20	40	220	200	101	11	57	69	142	96	137
100001127	10	0	0	1	28	0	8	17	4	2	16	0	0	10	0	13	0	5
100001129	255	17	22	626	555	169	339	155	273	412	221	253	33	197	311	708	201	415
100001136	3	0	6	21	35	2	14	12	13	20	17	35	9	7	9	33	11	5
100001167	7	0	0	3	8	3	0	3	0	9	0	4	5	0	1	7	0	0
100001168	101	0	50	288	383	102	96	80	173	250	173	176	13	113	152	434	145	279
100001169	7	0	1	7	7	8	12	16	2	32	22	0	0	7	3	20	0	28
100001171	7	0	0	26	25	20	8	9	10	12	13	31	0	7	4	16	0	0
100001188	7	0	0	26	12	2	19	6	16	14	40	7	0	3	2	17	11	2
100001198	50	0	11	82	99	54	17	18	67	101	61	52	2	41	65	197	12	78
100001219	1	0	26	128	71	36	51	17	91	93	35	29	14	20	38	134	16	108
100001221	47	0	11	42	44	43	42	21	61	72	24	74	0	10	52	79	3	91
100001229	4	0	0	3	7	0	0	1	4	6	0	0	0	0	0	0	1	6
100001239	0	0	0	5	0	6	0	8	0	0	0	0	0	12	0	6	1	3
100001241	25	0	2	63	103	21	23	15	25	30	54	19	0	52	67	92	5	46
100001249	28	1	10	76	73	15	53	61	34	64	14	50	2	52	34	40	2	27
100001260	54	1	3	125	42	16	19	10	48	150	72	38	13	23	55	219	50	90
100001267	260	0	128	692	701	86	120	80	116	335	220	124	14	174	193	793	66	345
100001285	18	0	0	68	84	43	67	37	53	133	59	18	9	44	99	77	55	93
100001293	14	0	0	127	28	11	3	4	9	59	2	7	0	1	32	99	41	19
100001297	21	0	9	125	136	26	34	11	61	178	77	66	8	18	78	89	34	130
100001302	0	0	0	12	0	0	0	0	0	4	0	1	6	16	0	11	0	5
100001306	0	0	2	2	0	0	8	0	0	5	0	0	0	0	6	2	0	3
100001316	15	0	0	32	40	0	18	2	15	38	10	9	0	21	8	52	0	6
100001321	11	0	0	32	37	0	22	12	33	15	11	5	0	9	20	0	13	43
100001340	5	0	0	0	7	0	1	5	0	6	1	3	0	0	7	17	0	0
100001344	8	0	0	4	23	1	0	8	4	19	7	0	9	1	3	4	0	6
100001360	0	0	0	13	30	0	4	0	33	1	2	2	0	0	8	26	5	18
100001408	16	0	0	20	17	0	3	4	16	11	0	12	7	0	4	37	14	9
100001416	9	0	0	10	8	0	9	9	3	0	13	5	0	9	20	3	0	17
100001417	31	11	16	89	67	28	33	6	51	85	41	9	0	25	62	199	54	59
100001421	78	1	22	157	117	28	66	25	105	160	50	71	8	75	90	261	58	155
100001422	7	0	0	15	23	10	3	0	2	0	2	6	0	0	1	37	28	9
100001423	2	0	0	5	6	0	0	0	4	2	2	8	0	0	13	48	10	2
100001424	7	0	0	5	17	20	11	0	22	36	9	20	7	18	48	10	5	1
100001425	11	0	0	20	28	5	5	0	18	10	17	4	0	4	15	24	4	14
100001432	0	0	0	16	0	3	11	0	0	16	0	13	8	0	1	0	0	0
100001442	0	0	3	2	10	0	0	0	1	0	0	2	0	7	3	0	0	8
100001484	14	1	0	0	19	0	7	1	0	4	6	10	0	0	0	12	1	0
100001485	0	0	0	0	0	0	3	0	0	0	18	1	0	0	7	3	0	4
100001490	151	3	8	110	155	33	35	31	35	112	161	38	0	38	123	205	35	39
100001518	18	8	25	64	52	36	66	35	13	49	23	64	6	22	45	95	8	56
100001530	0	0	6	17	40	6	0	6	9	4	8	0	0	6	7	6	0	10
100001531	19	0	14	76	343	21	36	0	17	72	141	95	0	17	8	242	5	45
100001532	70	0	37	271	103	7	65	25	83	289	73	66	10	74	91	220	51	152
100001537	12	0	7	25	41	0	1	3	9	0	2	0	0	21	7	84	0	1
100001552	15	0	8	18	5	16	0	1	0	7	11	3	0	7	11	23	14	20
100001558	14	0	2	22	44	1	4	0	28	51	4	8	0	2	8	68	10	8
100001581	0	0	0	24	6	6	0	0	1	8	5	0	1	0	7	4	0	22
100001584	5	0	10	54	17	12	31	14	3	30	26	23	0	12	21	68	6	30
100001586	16	4	0	23	13	10	0	0	5	10	6	4	0	6	0	20	1	0
100001603	89	0	0	133	60	17	8	11	7	48	5	26	0	4	13	133	30	3
100001615	94	0	55	70	130	29	67	19	60	62	32	72	5	35	36	115	26	56
100001620	0	0	0	15	5	15	2	7	23	4	5	0	3	18	5	19	0	8
100001628	44	0	0	45	8	6	33	19	23	0	3	6	0	43	42	13	8	29
100001629	34	0	0	49	83	2	37	24	33	52	34	5	18	29	75	75	28	31
100001643	56	0	65	257	145	77	88	44	67	125	52	47	4	10	37	128	6	23
100001644	51	0	0	115	204	17	103	20	66	140	87	45	0	45	16	109	10	41
100001648	9	0	1	31	25	9	19	6	8	34	21	11	0	17	31	54	13	20
100001650	21	0	0	19	16	8	29	0	1	24	21	2	13	2	1	31	10	13
100001663	0	0	0	3	4	0	0	1	0	4	0	6	8	0	0	22	0	0
100001665	37	0	0	130	84	38	43	7	50	122	35	27	0	20	85	143	26	66
100001681	38	0	12	77	97	6	0	8	33	28	57	21	10	33	61	69	20	19
100001684	39845	568	5200	74384	60821	21928	41937	18476	43628	85827	49215	38013	5507	39478	56543	130920	30107	72103
100001692	7	0	0	10	2	0	0	0	0	17	1	5	10	2	0	1	0	19
100001699	70	5	14	206	161	69	53	20	56	111	46	26	6	33	67	197	45	124
100001725	8	7	2	49	46	4	22	10	24	51	13	17	12	25	30	142	36	50
100001748	7	0	5	50	22	34	9	26	3	40	43	13	0	0	8	60	2	37
100001751	3	0	0	25	18	0	13	1	0	7	17	3	0	15	16	17	0	6
100001767	9	0	3	27	21	7	16	2	0	9	7	19	3	10	15	9	0	1
100001781	1	0	0	26	46	6	4	0	12	10	4	6	0	23	20	12	0	12
100001805	112	0	0	34	88	4	12	49	19	81	30	43	0	22	71	235	65	75
100001810	14	0	0	131	45	46	37	50	24	44	31	23	1	28	33	137	28	42
100001826	0	0	0	2	1	0	0	4	1	12	9	7	0	6	0	3	6	1
100001828	20	0	3	15	40	0	1	1	2	16	6	9	0	0	1	35	11	37
100001836	20	0	2	10	5	6	7	3	4	29	5	10	5	9	7	9	7	36
100001838	9	0	0	3	4	1	5	0	7	0	7	0	1	10	0	23	15	3
100001845	19	0	1	14	48	3	7	9	6	31	49	32	0	23	26	43	8	22
100001853	109	0	10	160	335	49	72	196	86	1679	106	132	9	87	110	276	65	131
100001877	4	0	0	5	0	3	16	1	12	13	12	19	0	17	9	28	0	0
100001879	206	2	9	395	349	118	127	80	128	251	262	138	25	149	262	379	103	260
100001880	6	0	0	28	16	1	6	0	13	28	0	17	12	60	25	84	24	83
100001887	134	5	19	350	276	86	94	45	70	165	78	86	4	54	101	299	70	172
100001896	24	0	2	63	35	22	36	16	67	81	70	26	0	41	55	102	21	56
100001904	27	0	21	23	36	11	35	23	30	34	19	21	0	42	50	89	18	44
100001905	6	0	8	20	0	1	1	3	0	11	14	1	1	0	3	22	0	8
100001906	91	0	8	194	210	15	28	20	87	174	140	68	0	47	70	302	50	118
100001914	86	1	22	196	123	68	76	31	76	145	98	46	9	76	138	214	65	95
100001920	3	0	2	85	60	2	12	0	0	41	4	95	27	8	12	154	49	8
100001934	6	0	0	7	1	1	6	0	0	1	5	0	1	4	0	12	0	3
100001936	16	0	0	64	44	4	5	3	39	33	5	10	12	9	71	79	12	22
100001940	80	0	19	145	125	38	51	23	67	80	90	57	10	49	50	184	19	106
100001978	2	0	0	9	10	0	5	2	7	14	0	10	0	6	12	7	8	5
100001980	25	0	1	74	22	12	20	1	22	23	23	33	0	31	13	35	12	51
100001989	0	0	0	21	25	10	0	0	0	0	0	2	1	13	0	24	0	0
100001991	0	0	0	32	36	0	1	9	6	6	1	0	0	1	0	17	3	8
100002007	174	3	47	646	432	116	247	112	232	503	275	190	15	216	297	705	174	300
100002010	48	4	11	308	85	10	31	19	39	193	34	24	7	42	175	560	43	137
100002012	0	0	10	31	90	13	30	0	31	65	41	8	1	37	10	42	7	44
100002015	48	0	0	0	22	0	12	0	0	3	0	25	0	0	37	67	0	14
100002020	0	0	0	13	12	0	9	0	0	1	6	0	0	7	0	0	0	0
100002026	22	0	5	140	83	216	70	88	172	32	54	241	17	14	43	125	218	72
100002034	665	4	258	1047	1132	204	298	385	500	1099	725	349	93	629	688	2086	238	1124
100002035	3	0	0	25	24	13	19	0	10	32	22	0	0	4	5	32	0	27
100002038	0	0	0	0	5	1	0	0	0	0	23	0	0	0	0	6	3	16
100002040	49	7	8	161	118	51	83	12	117	99	28	100	10	126	113	147	11	144
100002059	8	0	0	29	29	0	16	0	10	15	18	17	2	7	1	78	23	14
100002060	8	0	0	13	2	8	0	0	1	5	0	0	1	2	3	5	18	3
100002065	7	0	2	14	14	3	3	6	13	21	0	1	8	14	10	21	1	2
100002072	77	0	29	226	184	64	83	43	129	236	68	115	7	87	155	292	69	168
100002086	12	0	0	20	22	13	5	1	14	3	8	0	3	0	0	5	0	15
100002095	1	0	0	21	13	11	9	0	10	33	20	14	0	21	5	23	7	19
100002104	0	0	0	4	2	0	0	2	0	11	1	2	0	14	2	5	3	2
100002108	3	0	3	4	8	0	7	0	0	20	6	9	0	17	8	13	3	1
100002110	12	0	0	11	21	19	11	18	1	7	0	7	7	7	12	21	0	7
100002125	4	0	1	0	10	11	41	1	2	5	0	0	0	0	0	0	0	1
100002129	43	0	1	45	104	58	98	34	106	163	106	88	10	37	53	388	22	237
100002134	11	0	0	8	20	3	9	1	4	9	9	17	0	1	1	8	1	10
100002136	4	0	0	8	17	4	60	20	6	10	5	2	1	20	5	39	0	13
100002155	94	0	11	290	218	57	99	45	153	217	102	79	11	135	178	556	155	326
100002175	23	0	0	18	11	0	3	9	0	0	17	7	0	1	15	11	3	2
100002182	4	0	0	8	0	0	6	4	27	21	2	4	0	17	19	7	3	9
100002184	9	0	2	10	5	3	5	7	49	24	0	21	0	19	30	61	10	23
100002190	62	7	7	86	60	12	34	19	15	69	50	16	3	25	59	84	24	15
100002194	29	0	0	49	66	10	37	14	52	75	27	20	1	23	19	152	2	44
100002197	33	1	3	29	41	17	9	8	26	22	21	17	2	18	17	49	11	19
100002200	1	0	0	16	7	0	9	0	1	0	0	8	0	0	0	11	0	10
100002201	0	0	0	28	2	0	0	0	4	10	14	0	0	0	0	13	0	7
100002203	31	0	6	7	15	16	0	5	0	8	4	7	0	10	12	36	23	9
100002220	52	0	2	123	54	33	15	17	22	61	5	42	17	35	48	84	31	104
100002223	0	4	6	37	2	3	11	2	0	26	33	0	0	29	1	16	17	14
100002225	39	19	2	142	108	33	66	21	30	130	33	54	0	30	58	142	56	125
100002227	33	1	1	161	122	53	63	14	54	142	71	56	5	71	69	200	24	100
100002236	41	0	5	81	98	11	42	8	52	54	37	73	0	62	43	156	42	72
100002256	18	0	0	13	15	3	1	2	2	24	10	26	0	7	4	5	0	72
100002257	6	0	0	1	12	0	7	0	0	4	1	0	0	5	4	8	0	7
100002261	79	0	10	140	90	23	89	15	52	83	92	56	14	32	59	141	24	138
100002263	41	0	1	162	71	12	58	41	89	96	54	26	8	81	108	258	16	77
100002266	10	0	1	20	17	9	0	0	0	2	1	0	7	0	0	17	7	25
100002268	5	0	0	38	6	7	0	0	0	4	16	6	0	0	8	0	6	0
100002269	518	7	39	768	856	219	308	107	316	730	498	331	52	343	399	1220	237	569
100002270	5	0	0	1	14	0	1	0	0	0	1	23	0	0	10	29	22	12
100002272	5	0	0	3	6	0	6	0	0	0	0	0	2	0	0	3	0	0
100002292	47	0	9	80	42	19	69	18	44	132	53	46	2	34	34	148	64	58
100002293	0	0	0	1	17	0	8	7	4	25	9	1	0	0	1	40	12	5
100002302	61	0	0	171	182	36	135	27	51	143	84	119	0	81	120	215	90	140
100002307	3	0	11	34	14	12	8	0	0	16	0	5	4	10	31	14	0	15
100002318	10	0	18	31	45	19	13	8	14	48	17	5	0	61	23	57	16	42
100002322	1	0	1	29	8	10	0	0	18	17	27	33	0	6	8	31	20	18
100002334	0	0	0	0	0	0	0	7	0	0	0	26	1	3	19	4	5	0
100002342	38	0	0	8	28	0	5	0	5	3	8	20	1	0	0	37	0	27
100002364	48	5	10	97	138	15	87	10	71	20	21	19	0	23	34	75	16	42
100002370	0	0	5	0	0	24	23	0	0	0	0	0	0	0	46	0	30	0
100002371	0	0	0	9	15	0	1	10	0	18	0	1	0	0	2	6	12	2
100002384	13	0	0	0	4	1	0	2	0	3	0	0	9	0	2	1	9	1
100002391	8	5	4	24	46	8	7	43	2	24	6	8	0	10	13	31	4	12
100002393	6	0	1	53	55	5	57	26	20	71	58	8	2	23	28	67	14	20
100002400	26	0	0	45	88	25	37	13	3	33	26	2	3	5	42	31	0	24
100002407	35	0	34	282	17	0	0	0	47	180	0	113	0	81	110	271	0	184
100002427	1	0	0	14	17	2	15	7	10	18	9	7	0	12	23	19	6	19
100002437	2	0	3	3	0	0	0	0	7	0	4	1	0	0	5	17	10	4
100002445	32	0	1	59	89	58	31	32	56	72	25	7	1	26	35	117	39	55
100002448	15	2	0	29	42	7	49	34	49	60	35	32	7	24	29	69	9	24
100002454	110	1	45	194	195	58	68	128	44	201	126	97	8	107	386	519	190	161
100002455	8	0	3	9	14	9	2	6	10	15	3	0	0	12	3	51	0	9
100002460	13	0	0	12	9	0	20	0	35	4	73	4	0	2	11	12	0	10
100002463	52	7	4	118	91	2	73	18	47	104	84	40	34	44	69	142	27	88
100002502	0	0	0	0	19	0	1	0	3	15	0	3	1	0	8	2	1	0
100002505	128	4	14	273	316	123	122	67	107	215	201	166	10	176	69	372	34	204
100002513	0	0	0	4	9	0	11	0	0	6	15	1	9	15	3	4	0	5
100002532	0	0	0	15	2	4	0	1	11	2	4	1	0	0	0	4	0	19
100002535	1	0	0	0	0	0	10	0	11	12	12	0	2	2	19	2	5	0
100002536	13	0	0	14	17	0	11	5	2	5	0	0	0	0	3	28	5	1
100002565	12	0	4	13	19	2	11	0	20	15	34	13	0	8	12	86	0	43
100002601	11	0	0	26	41	0	22	1	1	12	24	7	5	4	4	45	12	46
100002610	53	1	16	122	284	68	48	8	50	103	29	23	3	35	115	173	23	97
100002625	118	0	55	456	245	87	88	66	130	175	142	143	51	154	209	291	70	227
100002630	22	0	3	85	267	17	37	15	35	80	71	27	12	38	60	143	47	131
100002633	1	0	10	47	26	0	10	0	7	14	8	4	0	0	10	34	24	17
100002675	0	0	0	8	2	9	0	8	0	1	3	14	0	2	14	6	13	19
100002676	0	0	0	12	25	4	3	1	4	51	8	0	0	1	4	3	2	0
100002679	221	2	12	389	375	55	104	118	160	344	166	192	17	164	196	522	71	176
100002680	74	0	0	17	45	16	70	18	22	21	12	11	0	18	8	49	41	49
100002689	207	6	15	123	55	26	22	30	24	86	21	47	3	25	85	99	18	109
100002706	10	0	5	87	24	2	29	5	27	22	13	4	1	9	18	128	0	29
100002730	17	0	0	10	13	0	9	7	10	8	6	0	0	0	0	9	0	0
100002736	5	0	15	54	79	7	4	4	13	33	3	0	89	15	28	16	1	28
100002737	25	0	5	20	50	22	23	0	35	45	28	25	1	9	21	43	6	40
100002738	6	0	0	37	22	17	5	2	33	20	34	7	2	0	21	38	23	38
100002756	187	3	104	670	377	163	175	178	402	391	346	264	72	167	350	723	151	493
100002762	201	4	27	734	546	142	271	184	384	541	321	275	46	158	345	568	130	398
100002785	12	0	0	6	12	3	12	0	4	0	3	0	0	0	0	18	0	1
100002791	8	0	0	11	30	0	2	4	19	11	6	9	2	2	12	32	24	5
100002795	18	3	0	55	68	6	28	14	7	86	9	17	0	18	33	42	17	20
100002802	89	0	4	102	134	16	40	3	69	135	48	44	0	33	53	244	100	59
100002812	55	0	10	13	13	0	2	8	22	1	54	2	0	0	15	25	0	14
100002814	17	0	0	30	36	10	1	0	1	16	26	11	0	12	18	24	1	54
100002821	0	0	0	1	0	8	1	0	8	4	0	4	0	7	6	1	1	6
100002825	19	0	0	44	3	0	4	2	4	18	20	12	0	11	11	36	24	0
100002838	2	0	1	18	20	7	35	0	0	8	2	1	1	20	6	12	0	3
100002865	4	0	9	16	19	14	23	0	9	19	0	0	2	3	49	0	25	0
100002872	206	0	28	319	248	114	137	129	190	387	160	165	32	111	207	491	75	232
100002875	31	0	1	66	48	14	17	6	119	33	34	47	4	30	51	39	18	30
100002876	31	0	7	49	75	14	8	6	15	67	44	21	0	15	28	82	1	62
100002878	6	0	4	5	20	13	3	4	11	2	10	14	1	2	2	15	7	13
100002885	13	0	2	16	41	13	0	11	55	21	7	12	0	10	18	31	19	19
100002901	2	0	5	6	4	0	2	0	2	1	1	4	0	0	0	0	0	1
100002904	0	0	0	15	1	0	5	4	8	19	15	1	0	0	10	23	12	10
100002907	0	0	0	0	3	0	0	0	8	25	0	0	0	0	3	0	6	2
100002916	1	0	0	20	17	6	20	11	16	34	14	8	14	0	8	11	5	3
100002919	39	7	0	96	92	1	10	9	23	60	8	4	7	12	1	56	10	50
100002920	0	0	0	3	0	0	2	0	4	2	0	0	0	0	0	6	0	6
100002928	66	1	20	435	194	60	118	58	152	284	187	200	29	169	187	470	109	338
100002938	29	1	11	108	130	47	50	2	105	122	40	36	24	46	53	194	40	123
100002945	14	0	13	34	51	20	43	19	36	57	40	28	0	22	34	67	21	70
