	C10	C11	C12	C7	C8	C9	C4	C5	C6	C1	C2	C3	B10	B11	B12	B7	B8	B9
100005963	8.77350296416651	11.6103758434907	10.4040242761587	8.85440220045594	8.98828253541774	6.26083714422505	8.49849884836194	8.15242519938549	9.98934968052323	8.31403940405787	8.63185189624604	7.93668907509101	7.46868185576	8.27495643261019	9.04870616646079	7.87235004618019	7.89896848968263	8.53666236462658
325221	8.27817767593003	7.52291300224039	9.21499045176869	8.64317022485672	8.64992409603297	7.98666218078606	7.78122905553666	9.13380952121814	9.29307015693792	7.57169061319476	7.00071921409196	7.08005325026219	4.66132693370239	7.73609034647849	8.56930942138557	8.37707025949831	7.6925176122152	7.59324589299294
558950	1.90313824458311	7.52291300224039	4.57113426199396	5.12259831140552	3.63073053079966	5.73032242752627	1.89858600617482	2.86702298052324	1.74617569705028	5.22254104957237	6.03548463225264	7.29686463933534	4.66132693370239	6.65202608169001	5.55874017967538	5.33931533750289	4.72904348824031	2.6704137535154
100148193	1.90313824458311	10.330267924298	8.27157398013505	0.730280888626754	7.09016214943695	8.17510727019917	1.89858600617482	7.62191048268671	5.6530662926588	3.63757854885122	7.79291432897856	1.87059988463324	6.98325502858976	6.65202608169001	6.82882934304312	5.33931533750289	11.3466946076676	5.47776867557301
368448	9.17926264985735	11.770840515684	13.9994944346983	9.31148147055171	8.27458672057438	11.4152658093442	10.312213935199	8.35887607685292	7.81226488750805	8.82457706365247	8.35741272714	9.0702722294696	10.3337522756739	8.87853461149869	10.422562053392	10.2182487035636	8.91491003355165	9.52424310537251
368635	3.48810074530426	7.52291300224039	6.15609676271512	4.43072060676785	0.823375608742052	6.6478602673343	6.42214796223183	2.86702298052324	1.74617569705028	5.22254104957237	1.64316720947387	5.04052488607555	4.66132693370239	2.00816989191529	1.47127733842504	4.20181181375296	2.40711539335295	6.57730434912392
799482	4.71049316664071	7.52291300224039	7.37848918405157	4.18971250726405	6.49580095071355	5.73032242752627	1.89858600617482	6.56746269866433	5.44661541519137	4.91768646804395	6.50114820460145	4.1925279795206	6.24628943442355	5.1780948933576	1.47127733842504	6.48474577702446	4.72904348824031	6.96809430215609
368923	6.29545566736187	7.52291300224039	8.6585971032443	7.23807552882545	6.49580095071355	2.56039742608396	4.70594092823242	6.56746269866433	6.70037200743716	6.80750355029353	4.81309221091619	3.45556238535439	4.66132693370239	5.70860961005638	7.02586619010268	6.31728903117289	2.40711539335295	7.35223779348915
100005300	1.90313824458311	7.52291300224039	4.57113426199396	0.730280888626754	3.99330061018437	2.56039742608396	1.89858600617482	2.86702298052324	4.06810379193764	5.58511112895708	1.64316720947387	1.87059988463324	4.66132693370239	4.33009798680265	4.93070895706234	4.20181181375296	2.40711539335295	1.08545125279425
368916	7.92550605761156	7.52291300224039	4.57113426199396	7.03406163680386	7.81206029551422	6.26083714422505	7.10803937180377	8.07647634615219	4.91610069849259	6.03967699242256	8.76210828219738	6.51445607440796	6.98325502858976	5.46760151055258	7.30416735258978	6.52373990864032	5.21447031541056	5.94343224792182
