Identifier,DES-CC-B
ENSDARG00000074575,14
ENSDARG00000069951,3
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,0
ENSDARG00000039616,0
ENSDARG00000095941,1
ENSDARG00000018611,0
ENSDARG00000053269,8
ENSDARG00000039615,0
ENSDARG00000060501,4
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,5
ENSDARG00000078733,5
ENSDARG00000058231,8
ENSDARG00000053248,3
ENSDARG00000012896,5
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,7
ENSDARG00000107292,0
ENSDARG00000079455,5
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,5
ENSDARG00000074815,10
ENSDARG00000033380,0
ENSDARG00000051975,25
ENSDARG00000079280,4
ENSDARG00000053586,11
ENSDARG00000002190,34
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,15
ENSDARG00000012763,3
ENSDARG00000013023,1
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,3
ENSDARG00000081597,0
ENSDARG00000032056,6
ENSDARG00000074860,6
ENSDARG00000053542,12
ENSDARG00000094556,0
ENSDARG00000053535,2
ENSDARG00000111052,0
ENSDARG00000015312,5
ENSDARG00000015506,3
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,12
ENSDARG00000069910,13
ENSDARG00000109513,0
ENSDARG00000092693,598
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,1
ENSDARG00000093282,1
ENSDARG00000101520,0
ENSDARG00000075798,5
ENSDARG00000037018,4
ENSDARG00000074677,2
ENSDARG00000094485,0
ENSDARG00000060397,18
ENSDARG00000094648,0
ENSDARG00000027199,9
ENSDARG00000115856,1
ENSDARG00000060383,4
ENSDARG00000037002,0
ENSDARG00000076171,14
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,36
ENSDARG00000069737,5
ENSDARG00000095555,0
ENSDARG00000011876,15
ENSDARG00000078789,5
ENSDARG00000036755,1
ENSDARG00000078326,9
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,2
ENSDARG00000102787,7
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,5
ENSDARG00000074989,10
ENSDARG00000076343,0
ENSDARG00000077519,1
ENSDARG00000040048,4
ENSDARG00000082660,0
ENSDARG00000057303,15
ENSDARG00000113575,0
ENSDARG00000029722,154
ENSDARG00000008305,8
ENSDARG00000117649,0
ENSDARG00000007477,2
ENSDARG00000053106,0
ENSDARG00000012016,12
ENSDARG00000011066,2
ENSDARG00000004621,73
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,6
ENSDARG00000089976,26
ENSDARG00000069640,0
ENSDARG00000104657,1
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,32
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,6
ENSDARG00000085746,0
ENSDARG00000007387,1
ENSDARG00000024828,8
ENSDARG00000070162,17
ENSDARG00000104907,5
ENSDARG00000080987,0
ENSDARG00000079183,2
ENSDARG00000104437,33
ENSDARG00000103145,6
ENSDARG00000069701,0
ENSDARG00000020857,2
ENSDARG00000093120,1
ENSDARG00000074662,1
ENSDARG00000076585,2
ENSDARG00000079631,2
ENSDARG00000018587,1
ENSDARG00000078182,1
ENSDARG00000095065,1
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,6
ENSDARG00000031435,184
ENSDARG00000077874,2
ENSDARG00000069710,0
ENSDARG00000079552,0
ENSDARG00000087333,8
ENSDARG00000009315,7
ENSDARG00000030368,11
ENSDARG00000117231,1
ENSDARG00000117450,0
ENSDARG00000117485,2
ENSDARG00000117707,2
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,0
ENSDARG00000075521,3
ENSDARG00000095566,0
ENSDARG00000007941,5
ENSDARG00000095651,0
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,13
ENSDARG00000060236,0
ENSDARG00000036774,14
ENSDARG00000109727,0
ENSDARG00000052866,3
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,4
ENSDARG00000008706,83
ENSDARG00000078108,2
ENSDARG00000075639,3
ENSDARG00000078016,1
ENSDARG00000092551,1
ENSDARG00000075194,2
ENSDARG00000098598,0
ENSDARG00000060252,6
ENSDARG00000078908,0
ENSDARG00000036965,4
ENSDARG00000036967,21
ENSDARG00000060264,1
ENSDARG00000024101,0
ENSDARG00000107253,0
ENSDARG00000024785,8
ENSDARG00000084202,0
ENSDARG00000087061,1
ENSDARG00000052713,6
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,149
ENSDARG00000052703,14
ENSDARG00000052700,0
ENSDARG00000052696,3
ENSDARG00000075112,0
ENSDARG00000029898,3
ENSDARG00000092730,14
ENSDARG00000078622,10
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,8
ENSDARG00000117756,0
ENSDARG00000074476,3
ENSDARG00000087178,1
ENSDARG00000095949,2
ENSDARG00000076277,1
ENSDARG00000075916,3
ENSDARG00000078558,0
ENSDARG00000052019,3
ENSDARG00000101106,3
ENSDARG00000103871,4
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,1
ENSDARG00000059682,0
ENSDARG00000078233,32
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,11
ENSDARG00000069114,4
ENSDARG00000014803,2
ENSDARG00000016793,107
ENSDARG00000052012,1
ENSDARG00000083573,0
ENSDARG00000016263,12
ENSDARG00000095781,0
ENSDARG00000007786,8
ENSDARG00000009472,6
ENSDARG00000111774,0
ENSDARG00000037748,7
ENSDARG00000002840,4
ENSDARG00000079632,19
ENSDARG00000016994,4
ENSDARG00000029718,0
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,31
ENSDARG00000051981,0
ENSDARG00000059653,4
ENSDARG00000016835,1
ENSDARG00000094133,30
ENSDARG00000093997,4
ENSDARG00000093289,0
ENSDARG00000078659,20
ENSDARG00000093954,1
ENSDARG00000031836,8
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,6
ENSDARG00000051970,0
ENSDARG00000019778,608
ENSDARG00000051965,0
ENSDARG00000087426,5
ENSDARG00000069559,4
ENSDARG00000093347,3
ENSDARG00000069566,9
ENSDARG00000095108,0
ENSDARG00000006588,72
ENSDARG00000006225,28
ENSDARG00000052766,1
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,1
ENSDARG00000025518,4
ENSDARG00000105481,1
ENSDARG00000092240,9
ENSDARG00000030376,5
ENSDARG00000069619,32
ENSDARG00000030656,9
ENSDARG00000114294,0
ENSDARG00000032340,3
ENSDARG00000026068,7
ENSDARG00000002285,5
ENSDARG00000069595,4
ENSDARG00000060187,0
ENSDARG00000060184,6
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,3
ENSDARG00000025233,0
ENSDARG00000016548,59
ENSDARG00000073848,4
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,0
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,7
ENSDARG00000095860,0
ENSDARG00000029133,10
ENSDARG00000075859,2
ENSDARG00000070858,4
ENSDARG00000036658,33
ENSDARG00000036650,2
ENSDARG00000036645,0
ENSDARG00000036637,1
ENSDARG00000036636,4
ENSDARG00000052641,38
ENSDARG00000052624,6
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,3
ENSDARG00000036549,27
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,1
ENSDARG00000089853,0
ENSDARG00000000086,5
ENSDARG00000026902,4
ENSDARG00000036592,0
