	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
561025	277	211	565	294	366	457	1002	131	39	265	776	573	143	866	588	601	272	60
561030	5	0	30	0	1	0	11	8	0	0	1	3	0	14	0	0	5	4
561039	19	13	130	22	74	44	171	20	6	73	177	94	13	195	155	144	122	8
561041	21	17	38	35	14	4	59	20	1	6	92	40	12	73	43	62	8	2
561047	7	4	24	10	13	4	26	7	0	15	10	14	5	113	43	57	3	4
561049	9	0	17	7	10	18	44	0	4	2	21	42	11	105	23	6	0	0
561050	6	4	10	8	8	19	40	7	0	28	7	13	0	39	34	30	18	0
561051	50	52	58	36	122	83	227	27	22	58	146	56	25	109	87	79	84	13
561057	30	37	226	53	43	27	114	4	4	68	87	187	10	162	28	33	19	7
561061	223	86	424	184	194	353	744	243	12	77	702	402	32	263	362	309	55	7
561062	0	0	8	0	0	0	14	0	0	2	7	0	1	15	23	9	6	0
561077	0	0	3	12	6	0	6	5	0	0	1	0	0	15	0	11	0	0
561081	12	13	29	30	34	18	148	4	0	91	117	34	13	258	23	76	35	0
561082	32	23	63	11	22	16	68	28	1	24	103	51	7	94	71	158	71	3
561083	0	3	12	0	0	0	16	8	0	1	26	6	4	5	4	5	0	0
561087	0	7	11	2	0	10	31	11	0	5	15	14	18	20	19	19	8	0
561089	17	0	2	0	4	1	10	0	5	3	0	1	0	35	1	3	2	0
561091	38	23	59	23	47	7	114	24	11	25	151	32	19	37	37	18	14	6
561094	148	104	159	67	171	133	370	61	15	102	338	244	58	279	248	117	78	15
561095	810	359	603	193	327	300	805	144	106	146	844	501	104	423	464	360	195	58
561108	16	5	7	6	23	0	36	5	11	14	2	2	0	9	4	36	0	0
561110	20	19	19	7	32	19	62	2	0	11	45	48	10	21	25	19	3	5
561117	0	11	10	5	4	3	7	3	0	9	12	54	0	10	0	4	0	6
561122	179	99	254	111	194	145	313	50	60	60	389	245	29	181	169	111	64	30
561123	30	10	106	27	58	56	115	16	0	5	42	48	11	56	41	38	28	4
561124	0	0	2	3	1	16	2	5	0	0	0	0	0	1	6	0	3	0
561131	46	27	154	27	70	80	186	2	8	43	132	364	20	88	113	101	115	17
561138	123	65	138	87	147	97	278	27	14	100	272	152	24	214	149	96	49	14
561142	28	20	31	38	51	52	95	16	4	8	59	56	14	116	51	52	23	5
561144	6	4	18	5	10	34	73	1	11	0	9	48	0	30	43	5	0	3
561146	68	40	421	27	44	46	178	32	22	34	95	46	16	77	86	103	53	3
561153	171	197	470	219	257	213	631	56	53	147	614	412	79	360	455	301	138	42
561155	2	0	3	1	0	13	34	2	0	4	0	1	0	22	10	16	1	0
561158	16	14	51	1	8	8	53	0	24	20	31	22	2	27	36	27	38	0
561159	324	280	653	435	527	476	1103	214	58	317	989	613	599	606	945	653	384	105
561160	124	81	104	102	111	88	321	16	28	41	161	108	29	153	118	164	96	3
