#NAME	B7	B8	B9	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0
ENSDARG00000002131	796	64	367	185	295	517	143	258	233	79	270	618	515	121	151
ENSDARG00000002165	7	0	5	0	7	15	5	0	14	0	5	33	0	0	0
ENSDARG00000002167	392	18	210	82	134	212	98	108	55	92	82	245	175	103	68
ENSDARG00000002168	74	18	108	36	57	71	49	38	56	13	17	71	99	51	51
ENSDARG00000002172	41	5	4	13	1	13	8	21	0	0	6	21	23	0	14
ENSDARG00000002174	10	18	12	9	4	17	0	11	18	4	5	17	12	0	4
ENSDARG00000002184	80	9	24	13	30	28	37	20	53	9	73	41	46	3	22
ENSDARG00000002190	189	20	121	78	172	131	95	44	76	53	106	117	80	42	59
ENSDARG00000002192	56	16	78	23	26	33	22	21	4	17	3	13	35	12	12
ENSDARG00000002193	4367	598	2214	1092	1708	3367	1356	1305	1136	877	1380	3288	3551	802	1259
ENSDARG00000002194	17	0	0	0	1	0	0	0	0	0	0	0	12	0	0
ENSDARG00000002196	182	32	41	27	26	72	93	19	118	13	39	35	48	6	60
ENSDARG00000002197	96	10	57	56	27	64	41	30	37	14	48	61	59	44	82
ENSDARG00000002204	20	6	24	10	15	3	12	2	8	12	26	13	0	0	20
ENSDARG00000002210	93	3	53	9	76	43	59	67	27	0	6	64	41	18	74
ENSDARG00000002213	12	10	3	11	8	1	20	11	44	2	13	47	9	6	6
ENSDARG00000002215	136	10	26	15	26	74	14	31	21	23	37	37	39	8	12
ENSDARG00000002216	77	6	22	17	68	42	13	17	30	5	29	43	79	3	3
ENSDARG00000002217	427	68	235	96	185	253	180	91	132	76	107	365	300	80	107
ENSDARG00000002219	0	5	16	4	2	8	0	3	0	0	0	18	3	0	2
ENSDARG00000002220	42	18	0	11	0	0	31	0	23	0	11	38	53	0	0
ENSDARG00000002230	205	105	155	73	126	211	141	89	72	45	100	245	275	24	75
ENSDARG00000002231	73	8	37	12	16	36	38	21	14	0	11	29	24	10	17
ENSDARG00000002235	334	116	139	74	174	254	115	103	132	45	98	148	67	36	73
ENSDARG00000002240	156	7	99	15	48	54	29	27	44	38	41	66	62	11	45
ENSDARG00000002241	37	0	16	0	6	5	0	8	1	11	5	22	9	0	12
ENSDARG00000002249	47	59	63	26	41	74	40	18	20	14	31	53	70	23	40
ENSDARG00000002255	285	49	187	44	85	143	36	101	71	61	76	123	297	59	59
ENSDARG00000002259	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0
ENSDARG00000002264	52	24	18	10	13	15	10	12	3	0	6	22	24	3	6
ENSDARG00000002267	22	58	16	15	27	61	14	29	28	1	16	39	27	22	16
ENSDARG00000002271	225	175	148	127	91	213	52	126	263	29	73	254	262	65	158
ENSDARG00000002285	73	8	65	15	61	65	54	38	22	25	26	85	74	20	40
ENSDARG00000002293	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ENSDARG00000002295	20	5	9	0	10	31	22	11	16	2	2	2	6	2	12
ENSDARG00000002298	45	2	6	2	4	13	5	5	1	2	9	3	0	0	0
ENSDARG00000002299	7	0	3	4	1	14	25	1	0	0	0	6	9	0	3
ENSDARG00000002300	24	0	4	0	18	21	3	0	9	0	16	16	4	9	11
ENSDARG00000002304	6	4	0	0	0	26	13	1	0	0	4	9	0	0	0
ENSDARG00000002305	312	65	181	55	82	180	45	112	86	23	114	173	161	34	83
ENSDARG00000002311	8	0	0	3	10	1	0	10	4	1	2	0	0	0	0
ENSDARG00000002330	11	0	0	1	0	2	14	1	10	1	8	13	0	0	0
ENSDARG00000002332	284	102	123	36	35	208	78	55	56	45	89	93	157	35	138
ENSDARG00000002333	154	24	34	59	49	111	37	38	44	31	12	171	103	44	36
ENSDARG00000002336	172	39	184	77	56	166	60	67	100	58	143	173	204	17	162
ENSDARG00000002339	0	4	10	0	44	0	7	12	0	9	17	4	10	11	19
ENSDARG00000002344	1486	397	687	390	573	933	393	394	440	164	497	1025	895	210	334
ENSDARG00000002347	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002353	8	0	0	0	6	5	0	1	9	0	0	12	7	0	0
ENSDARG00000002355	3	0	9	2	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000002362	112	11	66	45	25	72	36	41	37	11	31	59	78	33	59
ENSDARG00000002365	38	10	26	15	7	32	23	22	9	0	33	77	47	12	6
ENSDARG00000002369	119	131	185	98	211	209	97	113	132	31	108	222	178	15	114
ENSDARG00000002377	37	10	13	7	12	41	8	35	15	25	51	21	25	0	7
ENSDARG00000002385	100	53	49	35	15	47	42	39	85	33	22	102	72	35	17
ENSDARG00000002391	3	0	2	1	0	16	4	0	21	1	5	22	0	0	21
ENSDARG00000002394	2	0	2	4	3	1	0	0	15	5	0	26	0	1	14
ENSDARG00000002396	185	66	99	63	109	206	124	69	108	58	79	229	192	55	55
ENSDARG00000002401	8	2	26	9	5	24	7	5	32	0	56	5	0	0	0
ENSDARG00000002402	42	3	99	6	34	67	46	36	17	45	15	71	94	12	38
ENSDARG00000002403	123	38	41	66	23	149	26	31	73	37	62	74	73	11	33
ENSDARG00000002405	65	19	106	7	16	85	64	25	5	19	42	80	64	18	48
ENSDARG00000002406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
