	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
564279	4	7	11	0	5	8	0	8	0	5	1	1	18	0	0
564291	30	82	54	31	29	9	32	78	12	38	47	57	49	13	36
564295	16	22	239	39	29	1	40	23	6	12	28	67	54	14	20
564300	41	91	73	12	34	7	68	103	31	46	55	71	94	61	28
564308	9	19	1	0	0	0	4	9	19	0	0	3	2	0	1
564309	0	3	9	0	0	19	2	6	6	0	0	0	10	0	5
564317	0	4	14	2	22	0	21	25	9	16	1	24	43	20	7
564322	10	84	83	27	31	15	38	40	29	50	54	50	135	6	75
564324	24	150	93	50	38	22	36	104	50	83	44	111	172	10	83
564334	0	13	12	9	12	0	10	2	7	6	4	8	2	0	0
564336	1	6	14	0	16	0	4	3	0	11	0	2	12	2	2
564337	80	171	110	44	36	47	111	100	80	87	39	154	208	42	81
564338	0	21	17	0	0	0	0	34	5	0	0	0	36	19	3
564342	0	11	0	0	28	0	7	24	45	19	2	4	45	0	26
564344	94	248	289	122	109	64	109	166	159	90	107	147	163	49	177
564346	110	265	249	80	66	46	90	209	64	82	37	20	244	56	166
564347	8	39	42	20	9	11	0	0	2	0	16	0	27	8	8
564351	242	515	386	80	95	58	127	343	166	144	159	143	373	94	334
564359	2	11	11	0	8	0	1	14	20	2	1	0	13	1	3
564367	554	1037	1091	378	501	204	596	666	571	541	361	563	1391	281	735
564370	80	186	183	32	83	21	109	259	32	113	112	141	390	103	135
564371	33	86	128	18	58	54	75	74	45	73	43	89	73	42	69
564372	334	72	185	194	411	70	97	248	425	37	30	216	796	340	500
564374	4	31	19	0	17	0	4	20	27	20	0	4	17	0	85
564377	17	66	16	14	25	24	31	47	80	11	23	12	75	28	50
564379	99	120	191	118	98	54	38	191	138	56	68	101	381	63	281
564382	5	43	50	23	16	0	31	57	9	5	0	0	65	10	50
564383	0	61	50	7	0	43	42	16	73	0	98	0	64	18	34
564385	0	0	11	0	5	0	0	0	1	0	0	7	7	0	0
564388	3	29	38	17	15	1	15	24	26	8	20	3	33	18	49
564392	57	39	35	25	33	6	16	49	1	24	37	27	19	13	14
564395	39	125	139	41	27	19	44	103	44	40	36	76	136	31	72
564400	23	47	52	14	22	2	26	56	49	42	29	26	108	32	24
564403	22	18	10	3	16	5	17	21	8	15	8	1	54	4	11
564410	18	3	0	0	5	3	0	7	0	3	0	0	0	6	0
564412	0	25	20	0	23	24	8	43	15	13	2	20	62	48	24
564413	194	528	554	161	229	101	379	447	364	263	243	376	720	179	326
564423	0	10	17	0	0	1	6	1	8	0	7	10	11	6	15
564424	1	6	0	0	0	0	0	5	1	0	6	1	17	0	0
564431	11	20	16	4	16	8	25	11	6	16	2	4	45	12	9
564457	1	4	4	0	0	0	0	0	0	0	0	26	6	3	0
564460	56	163	233	45	68	19	40	167	51	45	51	93	317	29	151
564461	88	107	120	52	103	10	58	118	89	96	36	76	140	34	177
564462	120	162	111	52	41	14	61	131	63	53	41	53	212	25	103
564464	4	237	22	16	6	20	31	31	124	20	41	33	215	49	30
564465	27	131	122	5	51	11	54	52	26	31	20	38	33	23	48
564470	34	42	92	19	17	36	16	41	25	30	11	34	99	9	42
564472	1	15	6	1	11	8	2	4	25	4	1	0	11	17	13
564474	16	79	31	18	9	0	24	77	11	14	29	20	61	21	21
564476	3	1	24	1	0	0	1	10	25	13	9	3	16	0	41
564478	67	110	310	60	71	48	74	124	86	208	53	57	143	34	86
564485	6	58	16	16	22	1	21	55	25	13	7	17	72	3	22
564487	134	487	238	135	141	67	176	223	149	131	117	164	302	57	192
564488	6	24	16	6	15	4	6	47	16	7	21	30	59	17	8
564496	20	75	92	15	41	6	62	53	109	29	13	12	90	18	42
564497	24	65	59	36	16	20	29	18	39	13	35	35	158	31	11
564498	82	181	114	76	91	54	56	140	34	73	31	32	256	73	109
564500	0	41	19	6	7	4	25	31	26	41	9	2	45	14	15
564510	0	43	27	0	4	0	0	7	0	0	0	0	28	0	0
564511	85	271	233	37	101	28	163	354	104	167	147	155	291	65	307
