	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
368473	11.4367951595239	11.9752868262101	11.0751216044301	11.9464395451867	9.46104948873141	11.0719521957184	10.072898554167	10.7267230984073	11.3353390677029	10.7504311213223	11.1957513221392	10.4517397922085	10.3076564486402	12.5662095569442	10.4100593038494
405758	5.3628970458554	4.43076815120005	0.823639193809894	2.56057714454522	3.48376956523149	2.86738105146924	3.33143156776584	4.91785353574773	1.64359554853162	5.95831071295981	2.00839924893872	1.47160021456933	5.33942602913362	6.79991729150852	3.89323367928822
368564	1.9034654272181	6.51168814658362	5.57852669597336	2.56057714454522	1.89880706451034	2.86738105146924	1.74646906704468	2.41535319521855	1.64359554853162	1.87084787170947	5.91528984454724	4.64152521601165	4.93888809954989	2.40759986872976	1.08587875723062
393205	5.81035602282662	7.55050739547415	6.65652920797464	7.98684189924732	6.14673457795392	7.62226855363271	6.70066537743155	8.24824320938329	6.16715750458864	7.80158520927235	6.2563267623823	9.77993924470874	5.96745725174666	3.99256236945092	7.15196794768839
402875	6.29578284999686	8.66696637206153	8.84044748149645	8.39346715870996	8.23865706739496	2.86738105146924	9.02259347231892	8.75520319810318	7.66596336156008	8.02059499121415	8.48413267990512	9.12265190574826	8.40877407582435	2.40759986872976	8.38049950612224
368610	10.3993204541053	10.6801551438181	10.4365076911009	9.24707767172844	9.68670962390177	8.75002410083108	9.11279128129049	9.67901363492673	9.12741132579588	10.9234159225136	8.19822380781874	7.97939485476803	9.38514432943945	9.72048282401412	9.49950668625479
394081	7.6313858817813	8.91520377596724	7.98351053058828	6.46746774015374	8.52816368458995	9.09619974196512	9.02259347231892	8.64417188571443	7.37151600309482	8.13763441240437	8.51619388913742	8.48282746999259	7.26081619443725	8.2902429180916	8.14116119273181
563166	8.82232866449269	9.4203264044784	9.84322992216778	10.3353642041464	9.76299320916462	9.92266348697043	8.28562787815271	9.32624572138457	9.45737673974866	9.27172730799165	10.334828736061	8.6712725594057	8.09593180969547	8.47368905918754	8.60157859551466
64815	1.9034654272181	0.730328433058959	0.823639193809894	2.56057714454522	6.65369456667381	5.1893091463566	1.74646906704468	4.00031569593971	1.64359554853162	6.11877538515305	4.33032734382608	1.47160021456933	2.61696000466253	2.40759986872976	3.89323367928822
751672	7.26101743183618	6.88007555256364	7.2330301299476	2.56057714454522	4.70616198656794	2.86738105146924	6.13878648982344	4.91785353574773	5.34403526667271	7.84812779520938	5.17832425038103	8.10095683464894	6.70442284591287	6.79991729150852	6.64046760890825
678610	8.170251967913	8.93489957730816	8.61154175320133	8.23300248651671	6.85300337489721	6.77427164707776	9.71801262099545	8.43772100824701	8.65482280395488	7.89321568473792	9.42625176382462	9.43160214663742	8.17154885634016	7.16248737089323	9.0458806892987
368900	1.9034654272181	5.37418462283368	6.18119119842798	7.08413910060223	1.89880706451034	7.11530856491283	6.27003102310169	4.53083041263849	5.55048614414014	6.72882886683704	2.00839924893872	5.99516217062635	5.78688500610484	6.79991729150852	1.08587875723062
557312	1.9034654272181	3.05225652794632	4.52407891195099	2.56057714454522	6.2911244872891	4.4523435521904	4.55382398910228	4.28982231313469	1.64359554853162	1.87084787170947	2.00839924893872	6.82915221918742	5.90974175389037	2.40759986872976	4.25580375867293
368848	7.6313858817813	7.84926950578247	7.71845695711784	4.14553964526638	6.2911244872891	6.03730605291155	6.79086318640313	6.76112803206028	5.55048614414014	6.62573537387294	7.68082459091022	5.71952772801292	6.31739972280362	3.99256236945092	5.94385975235819
561024	5.60390514535919	4.18976005169626	5.95292221075486	2.56057714454522	1.89880706451034	2.86738105146924	1.74646906704468	5.35395265055441	5.55048614414014	1.87084787170947	2.00839924893872	6.82915221918742	5.96745725174666	6.93116182478678	2.67084125795177
