"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"163" "DES" "Dose3_1" 0 "a" 6130.3
"164" "DES" "Dose3_1" 0 "b" 6182.8
"165" "DES" "Dose3_1" 0 "c" 6902.5
"166" "DES" "Dose3_1" 0 "d" 2193.15
"167" "DES" "Dose3_1" 0 "e" 6787.85
"168" "DES" "Dose3_1" 0 "f" 5548.45
"169" "DES" "Dose3_2" 0 "a" 3761.2
"170" "DES" "Dose3_2" 0 "b" 1644.45
"171" "DES" "Dose3_2" 0 "c" 3852.4
"172" "DES" "Dose3_2" 0 "d" 3160.65
"173" "DES" "Dose3_2" 0 "e" 4445.7
"174" "DES" "Dose3_2" 0 "f" 2545.65
"175" "DES" "Dose3_3" 0 "a" 9240.6
"176" "DES" "Dose3_3" 0 "b" 6941.9
"177" "DES" "Dose3_3" 0 "c" 8083.55
"178" "DES" "Dose3_3" 0 "d" 5258.8
"179" "DES" "Dose3_3" 0 "e" 6603.15
"180" "DES" "Dose3_3" 0 "f" 3875.9
"181" "DES" "Dose3_4" 0 "a" 5050.55
"182" "DES" "Dose3_4" 0 "b" 5427.3
"183" "DES" "Dose3_4" 0 "c" 5981.3
"184" "DES" "Dose3_4" 0 "d" 5682.6
"185" "DES" "Dose3_4" 0 "e" 5588.45
"186" "DES" "Dose3_4" 0 "f" 8748.7
"187" "DES" "Dose3_5" 0 "a" 5148.1
"188" "DES" "Dose3_5" 0 "b" 2220.5
"189" "DES" "Dose3_5" 0 "c" 5636.65
"190" "DES" "Dose3_5" 0 "d" 1380.25
"191" "DES" "Dose3_5" 0 "e" 5385.25
"192" "DES" "Dose3_5" 0 "f" 3165.45
"193" "DES" "Dose3_6" 0 "a" 4139.2
"194" "DES" "Dose3_6" 0 "b" 3053.25
"195" "DES" "Dose3_6" 0 "c" 4713.85
"196" "DES" "Dose3_6" 0 "d" 1395.25
"197" "DES" "Dose3_6" 0 "e" 4261.2
"198" "DES" "Dose3_6" 0 "f" 4086.65
"199" "DES" "Dose3_7" 0 "a" 5678.45
"200" "DES" "Dose3_7" 0 "b" 5328.4
"201" "DES" "Dose3_7" 0 "c" 6781.45
"202" "DES" "Dose3_7" 0 "d" 4040.05
"203" "DES" "Dose3_7" 0 "e" 5580.6
"204" "DES" "Dose3_7" 0 "f" 3362.95
"205" "DES" "Dose3_8" 0 "a" 3961.75
"206" "DES" "Dose3_8" 0 "b" 1815.15
"207" "DES" "Dose3_8" 0 "c" 4564.05
"208" "DES" "Dose3_8" 0 "d" 3085.55
"209" "DES" "Dose3_8" 0 "e" 4875.7
"210" "DES" "Dose3_8" 0 "f" 4176.35
"211" "DES" "Dose3_9" 0 "a" 7064.2
"212" "DES" "Dose3_9" 0 "b" 6416
"213" "DES" "Dose3_9" 0 "c" 5706.95
"214" "DES" "Dose3_9" 0 "d" 3803.15
"215" "DES" "Dose3_9" 0 "e" 6379.7
"216" "DES" "Dose3_9" 0 "f" 1744.3
"217" "DES" "Dose4_1" 0 "a" 5624.05
"218" "DES" "Dose4_1" 0 "b" 3553.3
"219" "DES" "Dose4_1" 0 "c" 6367.45
"220" "DES" "Dose4_1" 0 "d" 1554
