Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000060889	Exp 2		null	null	0.982137	0.598012	2.19563	0.9923	205.4664	-404.9328	-1	1.642336609	TRUE	-1	5.27E-06	0.141216
ENSDARG00000044204	Linear		null	null	1.11744	0.74036	2.22904	0.2503	207.791551	-409.583103	-1	1.50931979	TRUE	2.86E-06	-5.23E-07	
ENSDARG00000070394	Poly 2		null	null	0.374227	0.140712	2.56627	0.253	177.234436	-346.468872	1	2.659524419	TRUE	3.10E-05	1.43E-05	-6.23E-06
ENSDARG00000033956	Exp 4		null	null	0.00158524	4.80E-04	0.0102439	0.6052	238.0872	-468.1743	-1	3.301008477	TRUE	5.33E-07	237.179	0.535945
ENSDARG00000053066	Linear		null	null	1.29755	0.830611	2.90594	0.7789	224.494573	-442.989147	1	1.562163275	TRUE	4.29E-07	1.48E-07	
ENSDARG00000014169	Linear		null	null	1.52409	0.933871	4.06602	0.3746	206.929467	-407.858933	-1	1.632013415	TRUE	3.04E-06	-4.06E-07	
ENSDARG00000077028	Poly 2		null	null	0.173921	0.0968045	0.778056	0.1473	230.85605	-453.712099	-1	1.796621025	TRUE	7.00E-07	-7.59E-07	2.15E-07
ENSDARG00000103277	Linear		null	null	1.13979	0.751977	2.30426	0.3588	161.106953	-316.213906	-1	1.51572455	TRUE	5.71E-05	-1.15E-05	
ENSDARG00000099851	Exp 4		null	null	4.69E-05	6.62E-07	7.49E-04	0.1057	220.215	-432.4299	-1	70.90748433	TRUE	3.53E-06	3202.95	0.481325
ENSDARG00000110019	Poly 2		null	null	0.37011	0.140364	2.60921	0.7054	205.751721	-403.503442	1	2.63678721	TRUE	3.48E-06	2.14E-06	-9.07E-07
ENSDARG00000013522	Poly 2		null	null	0.339757	0.135782	2.96978	0.61	131.121154	-254.242307	1	2.502224153	TRUE	6.68E-04	3.32E-04	-1.37E-04
ENSDARG00000038666	Exp 2		null	null	0.976442	0.519349	2.59456	0.5466	172.9288	-339.8577	-1	1.880126851	TRUE	-1	2.79E-05	0.246298
ENSDARG00000040683	Poly 2		null	null	0.269662	0.122254	2.85395	0.9374	174.956517	-341.913033	1	2.205751959	TRUE	4.52E-05	2.18E-05	-9.24E-06
