Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000038700	Poly 2		null	null	0.111663	0.0712788	0.251299	0.993	223.799793	-439.599586	1	1.566566777	TRUE	1.18E-06	1.86E-06	-5.45E-07		
ENSDARG00000105141	Exp 4		null	null	0.00876657	0.00117608	0.0383523	0.7345	211.7678	-415.5356	1	7.454059248	TRUE	2.48E-06	43.0234	1.57557		
ENSDARG00000075886	Exp 4		null	null	6.81E-04	1.07E-04	0.00622532	0.6878	229.9892	-451.9785	1	6.386886107	TRUE	1.73E-07	599.433	3.29862		
ENSDARG00000078065	Exp 2		null	null	1.25447	0.922861	2.06305	0.08534	233.0141	-460.0281	1	1.359327136	TRUE	1	3.39E-07	0.221562		
ENSDARG00000110173	Poly 2		null	null	0.0537368	0.0386774	0.0852584	0.002132	224.03122	-440.062439	1	1.389359161	TRUE	9.60E-07	3.75E-06	-1.21E-06		
ENSDARG00000103914	Exp 2		null	null	1.97199	0.958772	11.9081	0.1506	210.8798	-415.7596	-1	2.056787224	TRUE	-1	2.60E-06	0.102401		
ENSDARG00000040432	Linear		null	null	0.981617	0.667052	1.81484	0.3125	179.318048	-352.636096	1	1.47157493	TRUE	1.87E-05	3.97E-06			
ENSDARG00000052496	Exp 4		null	null	0.0917553	0.0151184	0.43665	0.1433	219.2354	-430.4708	1	6.069114457	TRUE	8.01E-07	5.166	1.90144		
ENSDARG00000117373	Exp 2		null	null	1.18413	0.646017	3.34287	0.3335	212.6005	-419.2009	-1	1.83297034	TRUE	-1	2.31E-06	0.171283		
ENSDARG00000015803	Linear		null	null	2.72168	1.33929	90000	0.003921	212.361733	-418.723466	1	2.03218123	TRUE	2.22E-06	1.58E-07			
ENSDARG00000104795	Poly 2		null	null	0.0929318	0.0617677	0.183461	0.4428	204.742901	-401.485802	1	1.504537161	TRUE	1.08E-06	7.95E-06	-2.62E-06		
ENSDARG00000056376	Exp 2		null	null	1.43611	0.782712	4.57391	0.4661	212.9158	-419.8316	-1	1.834787253	TRUE	-1	2.65E-06	0.118498		
ENSDARG00000090416	Linear		null	null	1.47817	0.913805	3.7944	0.5599	220.353411	-434.706821	1	1.617598941	TRUE	8.60E-07	1.71E-07			
ENSDARG00000069114	Poly 2		null	null	0.146631	0.0864373	0.483085	0.07333	219.320495	-430.640989	1	1.696385704	TRUE	1.44E-06	1.94E-06	-6.38E-07		
ENSDARG00000005578	Exp 4		null	null	0.00989201	5.59E-04	0.0971503	0.2421	176.0676	-344.1352	1	17.71114322	TRUE	2.04E-05	57.3685	1.54871		
ENSDARG00000116122	Linear		null	null	4.01465	1.61491	90000	0.001554	216.937664	-427.875329	-1	2.485989931	TRUE	1.52E-06	-7.91E-08			
ENSDARG00000061717	Linear		null	null	1.31662	0.839728	2.98833	0.3039	224.41543	-442.83086	1	1.567912467	TRUE	7.13E-07	1.47E-07			
ENSDARG00000027822	Poly 2		null	null	0.0621894	0.0440812	0.102458	0.8448	237.479266	-466.958533	-1	1.410791902	TRUE	7.91E-07	-1.32E-06	4.03E-07		
ENSDARG00000063357	Exp 4		null	null	0.137221	2.71E-04	30000	0.2254	225.2528	-442.5057	-1	505.4776254	TRUE	9.66E-07	8.11294	0.718682		
ENSDARG00000076339	Linear		null	null	1.74172	1.02354	5.73178	0.01012	219.592353	-433.184706	1	1.701662856	TRUE	1.17E-06	1.53E-07			
ENSDARG00000094003	Exp 2		null	null	1.29602	0.712612	3.78739	0.3226	201.5817	-397.1633	-1	1.818689553	TRUE	-1	5.19E-06	0.144162		
ENSDARG00000038305	Exp 4		null	null	0.122851	0.00318098	0.872606	0.4109	230.4422	-452.8844	1	38.62048803	TRUE	5.08E-07	4.24125	1.62579		
ENSDARG00000093224	Exp 2		null	null	1.11353	0.819632	1.78304	0.7545	234.1481	-462.2961	1	1.358573116	TRUE	1	4.13E-07	0.196141		
ENSDARG00000094012	Linear		null	null	1.68671	1.00169	5.23879	0.1812	206.30056	-406.60112	1	1.683864269	TRUE	3.02E-06	3.83E-07			
ENSDARG00000091889	Linear		null	null	5.6127	1.83653	90000	2.11E-04	233.44228	-460.88456	-1	3.056143924	TRUE	4.49E-07	-1.88E-08			
ENSDARG00000058964	Linear		null	null	1.52794	0.935535	4.08982	0.2478	234.75875	-463.5175	1	1.633225908	TRUE	4.73E-07	6.34E-08			
ENSDARG00000007358	Linear		null	null	1.32919	0.845692	3.04393	0.155	228.118168	-450.236337	1	1.571718782	TRUE	5.18E-07	1.13E-07			
ENSDARG00000098641	Linear		null	null	1.43613	0.895054	3.56383	0.2826	214.562374	-423.124748	1	1.604517716	TRUE	1.93E-06	2.59E-07			
ENSDARG00000061762	Exp 2		null	null	1.52606	1.05634	3.11052	0.7053	199.1274	-392.2549	1	1.444667437	TRUE	1	3.88E-06	0.155935		
ENSDARG00000093926	Poly 2		null	null	0.184364	0.0999579	2.89951	9.00E-05	226.098682	-444.197365	-1	1.844416499	TRUE	5.58E-07	-1.00E-06	3.49E-07		
ENSDARG00000106112	Linear		null	null	1.52901	0.936	4.09651	0.7483	226.541924	-447.083848	1	1.633557692	TRUE	3.93E-07	1.09E-07			
ENSDARG00000055854	Linear		null	null	1.85998	1.06876	7.0278	0.3507	165.711471	-325.422942	1	1.74031588	TRUE	2.95E-05	5.19E-06			
ENSDARG00000096933	Exp 2		null	null	2.37604	1.38915	18.0913	0.2918	222.0381	-438.0763	1	1.71042724	TRUE	1	9.15E-07	0.092936		
ENSDARG00000089237	Exp 4		null	null	0.00686432	0.00169433	0.0339264	0.08421	229.9857	-451.9714	1	4.05134773	TRUE	4.42E-07	68.1711	1.80604		
ENSDARG00000099390	Poly 2		null	null	0.0846764	0.0573004	0.158291	0.03053	195.499876	-382.999751	1	1.477762808	TRUE	9.89E-06	1.61E-05	-5.27E-06		
ENSDARG00000007783	Exp 2		null	null	1.62032	1.11461	3.48006	0.2916	225.1173	-444.2347	1	1.453710266	TRUE	1	6.05E-07	0.163868		
ENSDARG00000082396	Poly 2		null	null	0.100101	0.0655154	0.207378	0.01989	233.122063	-458.244126	-1	1.52790031	TRUE	5.07E-07	-1.11E-06	3.52E-07		
ENSDARG00000043004	Exp 2		null	null	2.10636	0.943247	19.0702	0.09603	213.6171	-421.2342	-1	2.233094831	TRUE	-1	1.73E-06	0.123605		
ENSDARG00000043035	Exp 2		null	null	5.42288	1.96385	30000	8.66E-04	194.2327	-382.4653	1	2.761351427	TRUE	1	5.72E-06	0.0414527		
ENSDARG00000083108	Poly 2		null	null	0.355731	0.138305	2.6287	0.6234	230.465732	-452.931464	-1	2.572076208	TRUE	4.29E-07	-4.25E-07	1.77E-07		
ENSDARG00000010276	Linear		null	null	1.46069	0.906053	3.69655	0.4015	185.662352	-365.324704	1	1.612146309	TRUE	5.53E-06	1.75E-06			
