Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000091321	Exp 4		null	null	1.08E-04	6.08E-05	0.00152033	0.7796	234.3244	-460.6487	1	1.770743015	TRUE	5.17E-08	2031.88	10.8124		
ENSDARG00000103019	Exp 2		null	null	1.80018	0.67419	12.903	0.1619	200.1826	-394.3652	-1	2.670137498	TRUE	-1	2.91E-06	0.225819		
ENSDARG00000102076	Poly 2		null	null	0.182513	0.0994611	3.04526	0.005751	194.656837	-381.313675	1	1.835018917	TRUE	8.58E-06	8.18E-06	-2.70E-06		
ENSDARG00000095092	Exp 2		null	null	1.61538	1.08234	3.68333	0.5737	232.8427	-459.6853	1	1.492488497	TRUE	1	4.93E-07	0.124564		
ENSDARG00000052565	Exp 2		null	null	3.41533	1.63399	30000	1.00E-04	202.5611	-399.1223	1	2.09017803	TRUE	1	4.12E-06	0.0536456		
ENSDARG00000104739	Exp 4		null	null	3.66E-05	1.07E-06	6.84E-04	0.047	236.2183	-464.4366	-1	34.09325025	TRUE	1.30E-06	3090.88	0.367669		
ENSDARG00000045089	Poly 2		null	null	0.129212	0.079245	0.343245	0.03034	207.453589	-406.907178	-1	1.630538204	TRUE	2.87E-06	-4.82E-06	1.51E-06		
ENSDARG00000016704	Exp 2		null	null	2.57715	1.15178	1399.46	0.01193	197.454	-388.908	-1	2.237536682	TRUE	-1	6.88E-06	0.0718949		
ENSDARG00000011042	Exp 4		null	null	2.95E-05	8.13E-07	4.05E-04	0.08349	217.0193	-426.0387	-1	36.31749087	TRUE	6.05E-06	3438.66	0.459449		
ENSDARG00000054352	Exp 2		null	null	6.38237	1.68651	30000	2.66E-04	226.1476	-446.2952	-1	3.784365346	TRUE	-1	6.75E-07	0.0460819		
ENSDARG00000098687	Exp 2		null	null	2.10279	0.919132	19.053	0.03711	230.2731	-454.5462	-1	2.287799794	TRUE	-1	5.14E-07	0.139463		
ENSDARG00000093117	Linear		null	null	2.11865	1.16006	11.9252	0.3112	223.996942	-441.993885	1	1.826327949	TRUE	9.84E-07	9.36E-08			
ENSDARG00000088130	Exp 2		null	null	7.23745	2.10927	30000	0.007442	206.5343	-407.0686	1	3.431258208	TRUE	1	2.86E-06	0.0277266		
ENSDARG00000058571	Linear		null	null	4.29787	1.66162	90000	5.78E-04	215.659078	-425.318155	-1	2.586554086	TRUE	1.75E-06	-8.05E-08			
ENSDARG00000013950	Exp 4		null	null	0.16516	0.0126456	1.20401	0.02613	215.2195	-422.4391	1	13.06066932	TRUE	3.02E-06	2.7853	1.32031		
ENSDARG00000095584	Linear		null	null	2.11512	1.15888	11.8256	0.1606	222.750776	-439.501552	1	1.825141516	TRUE	4.12E-07	1.02E-07			
ENSDARG00000057100	Poly 2		null	null	0.263203	0.121778	2.99065	9.00E-05	210.955465	-413.91093	-1	2.16133456	TRUE	1.86E-06	-1.97E-06	6.66E-07		
ENSDARG00000030512	Linear		null	null	2.24856	1.20235	16.8489	0.1199	206.985198	-407.970396	1	1.870137647	TRUE	3.22E-06	2.74E-07			
ENSDARG00000018788	Exp 4		null	null	0.00977812	0.00279688	0.0495945	0.288	224.6575	-441.3151	1	3.496081348	TRUE	4.78E-07	47.1788	2.07454		
ENSDARG00000062042	Linear		null	null	5.03465	1.767	90000	4.81E-04	216.175768	-426.351536	1	2.84926429	TRUE	1.93E-06	6.64E-08			
ENSDARG00000056006	Linear		null	null	1.70322	1.0083	5.38067	0.04004	235.307549	-464.615098	1	1.689199643	TRUE	3.91E-07	5.48E-08			
ENSDARG00000111043	Linear		null	null	3.20604	1.45674	90000	0.007815	220.752936	-435.505872	-1	2.200831995	TRUE	1.15E-06	-7.68E-08			
ENSDARG00000117626	Exp 2		null	null	1.7542	1.16369	4.40485	0.008198	213.902	-421.8039	1	1.507446141	TRUE	1	1.43E-06	0.136889		
ENSDARG00000096784	Linear		null	null	1.64803	0.986005	4.92494	0.03856	225.57296	-445.145921	1	1.671421545	TRUE	9.00E-07	1.08E-07			
ENSDARG00000018418	Linear		null	null	1.92725	1.09348	7.9579	0.04669	218.74636	-431.492719	-1	1.762492227	TRUE	1.27E-06	-1.46E-07			
ENSDARG00000025555	Exp 4		null	null	5.24E-04	8.28E-07	0.00425286	0.5514	218.3981	-428.7961	-1	633.5731108	TRUE	2.76E-06	728.767	0.671425		
ENSDARG00000053929	Poly 2		null	null	0.301084	0.129658	2.88147	2.21E-04	212.654532	-417.309064	-1	2.322139783	TRUE	2.49E-06	-1.57E-06	5.58E-07		
ENSDARG00000076196	Exp 4		null	null	0.00279094	6.47E-04	0.0260492	0.5492	227.0636	-446.1273	-1	4.313069763	TRUE	1.03E-06	176.855	0.59766		
ENSDARG00000103395	Linear		null	null	0.987387	0.670262	1.83107	0.4029	229.649404	-453.298808	1	1.473135878	TRUE	4.34E-07	1.38E-07			
ENSDARG00000105273	Exp 4		null	null	4.98E-05	3.13E-05	6.51E-04	0.06255	183.5421	-359.0841	1	1.591898032	TRUE	6.22E-06	3024.28	4.38465		
ENSDARG00000104307	Linear		null	null	1.7904	1.04244	6.22143	0.5456	220.908031	-435.816062	1	1.717508921	TRUE	9.20E-07	1.36E-07			
ENSDARG00000036227	Poly 2		null	null	0.234391	0.113938	2.5721	0.02375	236.187968	-464.375935	1	2.057180221	TRUE	4.92E-07	4.16E-07	-1.75E-07		
ENSDARG00000012060	Exp 2		null	null	1.54195	0.793084	5.77093	0.2706	198.1632	-390.3265	-1	1.944245502	TRUE	-1	5.93E-06	0.134348		
ENSDARG00000115108	Linear		null	null	1.80668	1.04867	6.39798	0.005279	228.850328	-451.700656	-1	1.72282987	TRUE	5.05E-07	-7.94E-08			
ENSDARG00000061718	Linear		null	null	9.68608	2.14167	90000	6.54E-04	208.652153	-411.304306	1	4.522676229	TRUE	2.71E-06	5.70E-08			
ENSDARG00000055798	Exp 4		null	null	5.33E-04	5.03E-05	0.00464148	0.9856	219.7902	-431.5805	1	10.58489929	TRUE	7.01E-07	736.068	2.15375		
ENSDARG00000033754	Linear		null	null	12.6388	2.26114	90000	9.00E-05	191.514499	-377.028999	-1	5.589569863	TRUE	1.05E-05	-1.37E-07			
ENSDARG00000077572	Linear		null	null	1.9515	1.10221	8.33781	0.2609	219.079258	-432.158516	1	1.770533746	TRUE	7.86E-07	1.41E-07			
ENSDARG00000117637	Exp 4		null	null	2.43E-05	5.49E-07	2.96E-04	0.05207	212.7236	-417.4472	-1	44.21203992	TRUE	8.14E-06	3470.55	0.360168		
ENSDARG00000117256	Exp 2		null	null	2.31944	0.977816	39.8106	1.00E-04	233.4242	-460.8484	-1	2.372061819	TRUE	-1	4.07E-07	0.129946		
ENSDARG00000043102	Linear		null	null	7.20617	1.98596	90000	9.00E-05	160.751607	-315.503213	-1	3.628557473	TRUE	7.75E-05	-1.87E-06			
ENSDARG00000038882	Exp 2		null	null	3.60947	1.66434	30000	7.47E-04	181.4559	-356.9117	1	2.168709518	TRUE	1	1.77E-05	0.0485272		
ENSDARG00000117388	Poly 2		null	null	0.15264	0.0889356	0.518944	0.08991	219.005429	-430.010858	1	1.716298085	TRUE	8.05E-07	1.90E-06	-5.58E-07		
ENSDARG00000058219	Exp 4		null	null	0.112867	0.00663689	0.641392	0.4854	222.222	-436.4441	-1	17.00600733	TRUE	1.93E-06	4.19866	0.693324		
ENSDARG00000014849	Exp 4		null	null	4.51E-04	3.11E-05	0.00164272	0.98	232.4878	-456.9756	1	14.47298938	TRUE	5.83E-07	567.217	1.85587		
ENSDARG00000069375	Linear		null	null	2.81978	1.36475	90000	0.001139	167.729749	-329.459498	1	2.06615131	TRUE	3.52E-05	2.99E-06			
ENSDARG00000056926	Linear		null	null	4.83897	1.74104	90000	0.002635	219.169399	-432.338798	-1	2.779356017	TRUE	1.35E-06	-5.66E-08			
ENSDARG00000054136	Exp 4		null	null	0.16267	0.0107261	30000	0.0271	223.7234	-439.4468	1	15.1658105	TRUE	9.20E-07	4.54393	1.42036		
ENSDARG00000054055	Poly 2		null	null	0.261607	0.121043	2.79312	0.0552	222.987864	-437.975728	-1	2.161273267	TRUE	1.06E-06	-8.98E-07	3.33E-07		
ENSDARG00000018040	Exp 4		null	null	3.97E-05	1.28E-06	0.00121157	0.2523	218.4028	-428.8057	-1	31.13039528	TRUE	3.99E-06	3566.12	0.453777		
ENSDARG00000071052	Exp 4		null	null	4.03E-05	1.66E-06	9.15E-04	0.04697	237.3988	-466.7976	-1	24.26460227	TRUE	1.02E-06	3337.04	0.368442		
ENSDARG00000006838	Poly 2		null	null	0.232906	0.113932	2.74768	0.09958	218.544923	-429.089846	1	2.044254468	TRUE	1.31E-06	1.34E-06	-5.09E-07		
ENSDARG00000077577	Linear		null	null	3.06966	1.42567	90000	0.05819	227.383493	-448.766986	-1	2.153135017	TRUE	3.06E-07	-5.16E-08			
ENSDARG00000037607	Exp 2		null	null	16.3785	2.44015	30000	1.16E-04	200.3814	-394.7629	1	6.712087372	TRUE	1	4.41E-06	0.0119901		
ENSDARG00000116259	Exp 2		null	null	1.34673	0.713309	4.26208	0.4028	227.6418	-449.2835	-1	1.888003656	TRUE	-1	8.07E-07	0.159051		
ENSDARG00000037062	Linear		null	null	3.29423	1.47607	90000	0.00246	225.154712	-444.309425	-1	2.231757301	TRUE	8.08E-07	-5.57E-08			
ENSDARG00000015460	Poly 2		null	null	0.153181	0.0889861	0.556676	0.00228	200.753321	-393.506641	-1	1.72140368	TRUE	7.02E-06	-6.42E-06	2.12E-06		
ENSDARG00000019025	Linear		null	null	1.36431	0.862173	3.20508	0.1653	226.345141	-446.690281	1	1.582408635	TRUE	5.48E-07	1.24E-07			
ENSDARG00000091511	Exp 2		null	null	13.4813	2.35809	30000	1.81E-04	217.2224	-428.4448	1	5.717042182	TRUE	1	1.88E-06	0.0113486		
ENSDARG00000101212	Linear		null	null	2.26295	1.2069	17.6048	0.008626	232.717086	-459.434172	1	1.875010357	TRUE	4.10E-07	4.90E-08			
