G12,Counts
ENSDARG00000003860,9
ENSDARG00000003865,1
ENSDARG00000003866,0
ENSDARG00000003867,3
ENSDARG00000003869,9
ENSDARG00000003872,13
ENSDARG00000003877,78
ENSDARG00000003899,0
ENSDARG00000003900,0
ENSDARG00000003902,4
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,7
ENSDARG00000003920,8
ENSDARG00000003925,0
ENSDARG00000003927,0
ENSDARG00000003931,3
ENSDARG00000003934,2
ENSDARG00000003938,0
ENSDARG00000003940,5
ENSDARG00000003941,6
ENSDARG00000003944,0
ENSDARG00000003952,23
ENSDARG00000003961,0
ENSDARG00000003963,11
ENSDARG00000003965,7
ENSDARG00000003968,0
ENSDARG00000003970,0
ENSDARG00000003971,0
ENSDARG00000003973,7
ENSDARG00000003974,14
ENSDARG00000003977,0
ENSDARG00000003984,10
ENSDARG00000003989,30
ENSDARG00000003991,6
ENSDARG00000003994,5
ENSDARG00000003998,1
ENSDARG00000004015,0
ENSDARG00000004017,0
ENSDARG00000004018,1
ENSDARG00000004023,33
ENSDARG00000004034,5
ENSDARG00000004037,0
ENSDARG00000004046,2
ENSDARG00000004049,4
ENSDARG00000004051,0
ENSDARG00000004055,4
ENSDARG00000004059,0
ENSDARG00000004060,103
ENSDARG00000004074,147
ENSDARG00000004078,2
ENSDARG00000004082,0
ENSDARG00000004094,35
ENSDARG00000004105,9
ENSDARG00000004109,0
ENSDARG00000004111,1
ENSDARG00000004114,0
ENSDARG00000004115,0
ENSDARG00000004130,6
ENSDARG00000004131,0
ENSDARG00000004132,45
ENSDARG00000004150,0
ENSDARG00000004151,7
ENSDARG00000004154,0
ENSDARG00000004158,21
ENSDARG00000004160,9
ENSDARG00000004161,7
ENSDARG00000004167,0
ENSDARG00000004169,0
ENSDARG00000004171,1
ENSDARG00000004173,15
ENSDARG00000004174,32
ENSDARG00000004176,0
ENSDARG00000004177,5
ENSDARG00000004184,25
ENSDARG00000004187,4
ENSDARG00000004189,8
ENSDARG00000004196,0
ENSDARG00000004199,0
ENSDARG00000004204,0
ENSDARG00000004211,2
ENSDARG00000004218,0
ENSDARG00000004219,3
ENSDARG00000004227,13
ENSDARG00000004232,0
ENSDARG00000004243,0
ENSDARG00000004246,36
ENSDARG00000004251,0
ENSDARG00000004256,0
ENSDARG00000004260,11
ENSDARG00000004261,3
ENSDARG00000004262,0
ENSDARG00000004270,4
ENSDARG00000004274,0
ENSDARG00000004280,0
ENSDARG00000004282,4
ENSDARG00000004291,0
ENSDARG00000004296,4
ENSDARG00000004297,30
ENSDARG00000004301,1
ENSDARG00000004302,0
ENSDARG00000004305,0
ENSDARG00000004306,0
ENSDARG00000004307,0
ENSDARG00000004308,7
ENSDARG00000004311,0
ENSDARG00000004318,1
ENSDARG00000004322,0
ENSDARG00000004325,4
ENSDARG00000004328,0
ENSDARG00000004336,23
ENSDARG00000004343,0
ENSDARG00000004358,2
ENSDARG00000004363,0
ENSDARG00000004372,0
ENSDARG00000004377,10
ENSDARG00000004378,0
ENSDARG00000004386,34
ENSDARG00000004392,0
ENSDARG00000004396,0
ENSDARG00000004402,6
ENSDARG00000004405,0
ENSDARG00000004406,0
ENSDARG00000004415,205
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,0
ENSDARG00000004445,9
ENSDARG00000004447,0
ENSDARG00000004451,0
ENSDARG00000004452,47
ENSDARG00000004455,0
ENSDARG00000004459,5
ENSDARG00000004460,0
ENSDARG00000004470,1
ENSDARG00000004472,0
ENSDARG00000004473,7
ENSDARG00000004492,0
ENSDARG00000004497,0
ENSDARG00000004498,0
ENSDARG00000004502,2
ENSDARG00000004517,8
ENSDARG00000004525,9
ENSDARG00000004527,0
ENSDARG00000004529,43
ENSDARG00000004537,162
ENSDARG00000004539,11
ENSDARG00000004561,2
ENSDARG00000004574,0
ENSDARG00000004576,6
ENSDARG00000004580,3
ENSDARG00000004581,0
ENSDARG00000004586,2
ENSDARG00000004587,12
ENSDARG00000004588,97
ENSDARG00000004592,6
ENSDARG00000004594,6
ENSDARG00000004597,18
ENSDARG00000004598,0
ENSDARG00000004616,0
ENSDARG00000004618,0
ENSDARG00000004621,60
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,0
ENSDARG00000004634,6
ENSDARG00000004635,33
ENSDARG00000004636,13
ENSDARG00000004643,12
ENSDARG00000004647,0
ENSDARG00000004648,0
ENSDARG00000004658,0
ENSDARG00000004672,15
ENSDARG00000004680,2
ENSDARG00000004687,2
ENSDARG00000004692,5
ENSDARG00000004695,3
ENSDARG00000004696,0
ENSDARG00000004697,0
ENSDARG00000004702,30
ENSDARG00000004706,19
ENSDARG00000004712,16
ENSDARG00000004713,0
ENSDARG00000004714,12
ENSDARG00000004721,9
ENSDARG00000004724,12
ENSDARG00000004726,22
ENSDARG00000004735,51
ENSDARG00000004745,0
ENSDARG00000004748,0
ENSDARG00000004753,2
ENSDARG00000004754,6
ENSDARG00000004757,135
ENSDARG00000004763,3
ENSDARG00000004771,15
ENSDARG00000004774,0
ENSDARG00000004782,39
ENSDARG00000004785,12
ENSDARG00000004789,59
ENSDARG00000004794,0
ENSDARG00000004796,17
ENSDARG00000004806,0
ENSDARG00000004823,0
ENSDARG00000004830,10
ENSDARG00000004836,41
ENSDARG00000004840,5
ENSDARG00000004843,47
ENSDARG00000004851,4
ENSDARG00000004861,13
ENSDARG00000004864,0
ENSDARG00000004866,1
ENSDARG00000004869,0
ENSDARG00000004870,0
ENSDARG00000004871,0
ENSDARG00000004874,5
ENSDARG00000004875,3
ENSDARG00000004877,13
ENSDARG00000004880,9
ENSDARG00000004889,0
ENSDARG00000004891,31
ENSDARG00000004898,0
ENSDARG00000004904,11
ENSDARG00000004906,0
ENSDARG00000004925,0
ENSDARG00000004930,37
ENSDARG00000004931,20
ENSDARG00000004932,0
ENSDARG00000004937,3
ENSDARG00000004939,2
ENSDARG00000004948,47
ENSDARG00000004952,0
ENSDARG00000004953,0
ENSDARG00000004954,0
ENSDARG00000004956,0
ENSDARG00000004964,3
ENSDARG00000004979,3
ENSDARG00000004988,3
ENSDARG00000005002,0
ENSDARG00000005004,0
ENSDARG00000005010,0
ENSDARG00000005015,17
ENSDARG00000005023,0
ENSDARG00000005026,52
ENSDARG00000005034,0
ENSDARG00000005049,0
ENSDARG00000005050,0
ENSDARG00000005057,0
ENSDARG00000005058,9
ENSDARG00000005078,1
ENSDARG00000005085,0
ENSDARG00000005092,2
ENSDARG00000005095,18
ENSDARG00000005098,3
ENSDARG00000005104,2
ENSDARG00000005108,2
ENSDARG00000005112,2
ENSDARG00000005115,6
ENSDARG00000005122,13
ENSDARG00000005126,6
ENSDARG00000005128,0
ENSDARG00000005134,4
ENSDARG00000005139,0
ENSDARG00000005141,12
ENSDARG00000005150,6
ENSDARG00000005154,0
ENSDARG00000005159,15
ENSDARG00000005162,26
ENSDARG00000005163,6
ENSDARG00000005172,0
ENSDARG00000005176,0
ENSDARG00000005179,6
ENSDARG00000005185,0
ENSDARG00000005186,16
ENSDARG00000005191,30
ENSDARG00000005210,0
ENSDARG00000005216,8
ENSDARG00000005218,1
ENSDARG00000005220,2
ENSDARG00000005221,6
ENSDARG00000005230,0
ENSDARG00000005232,40
ENSDARG00000005236,105
ENSDARG00000005246,0
ENSDARG00000005251,0
ENSDARG00000005254,0
ENSDARG00000005271,0
ENSDARG00000005274,0
ENSDARG00000005284,0
ENSDARG00000005314,0
ENSDARG00000005315,44
ENSDARG00000005318,0
ENSDARG00000005320,0
ENSDARG00000005327,0
ENSDARG00000005332,0
ENSDARG00000005335,0
ENSDARG00000005343,35
ENSDARG00000005350,46
ENSDARG00000005355,2
ENSDARG00000005356,0
ENSDARG00000005359,2
ENSDARG00000005364,0
ENSDARG00000005368,8
ENSDARG00000005371,0
ENSDARG00000005372,0
ENSDARG00000005374,9
ENSDARG00000005382,0
ENSDARG00000005392,0
ENSDARG00000005394,2
ENSDARG00000005397,36
ENSDARG00000005414,4
ENSDARG00000005416,18
ENSDARG00000005423,4
ENSDARG00000005425,3
ENSDARG00000005448,0
ENSDARG00000005451,9
ENSDARG00000005453,32
ENSDARG00000005454,0
ENSDARG00000005456,0
ENSDARG00000005458,13
ENSDARG00000005462,3
ENSDARG00000005463,18
ENSDARG00000005464,0
ENSDARG00000005468,8
ENSDARG00000005476,23
ENSDARG00000005479,72
ENSDARG00000005481,11
ENSDARG00000005482,47
ENSDARG00000005485,0
ENSDARG00000005500,0
ENSDARG00000005510,0
ENSDARG00000005513,70
ENSDARG00000005518,0
ENSDARG00000005522,0
ENSDARG00000005525,0
ENSDARG00000005526,3
ENSDARG00000005536,25
ENSDARG00000005540,23
ENSDARG00000005541,0
ENSDARG00000005544,3
ENSDARG00000005547,0
ENSDARG00000005549,1
ENSDARG00000005551,3
ENSDARG00000005559,0
ENSDARG00000005560,18
ENSDARG00000005561,0
ENSDARG00000005565,0
ENSDARG00000005574,8
ENSDARG00000005576,37
ENSDARG00000005578,4
ENSDARG00000005586,31
ENSDARG00000005590,4
ENSDARG00000005595,0
ENSDARG00000005606,5
ENSDARG00000005612,3
ENSDARG00000005616,0
ENSDARG00000005619,0
ENSDARG00000005625,29
ENSDARG00000005626,0
ENSDARG00000005627,0
ENSDARG00000005629,5
ENSDARG00000005640,0
ENSDARG00000005643,0
ENSDARG00000005645,20
ENSDARG00000005648,0
ENSDARG00000005651,1
ENSDARG00000005652,61
ENSDARG00000005670,17
