G7,Counts
ENSDARG00000003395,3
ENSDARG00000003398,18
ENSDARG00000003399,3
ENSDARG00000003403,59
ENSDARG00000003411,10
ENSDARG00000003414,0
ENSDARG00000003420,2
ENSDARG00000003421,72
ENSDARG00000003429,62
ENSDARG00000003444,1
ENSDARG00000003446,11
ENSDARG00000003449,27
ENSDARG00000003462,43
ENSDARG00000003469,19
ENSDARG00000003475,0
ENSDARG00000003486,100
ENSDARG00000003487,36
ENSDARG00000003495,457
ENSDARG00000003512,231
ENSDARG00000003517,4
ENSDARG00000003519,0
ENSDARG00000003520,44
ENSDARG00000003523,0
ENSDARG00000003526,46
ENSDARG00000003527,7
ENSDARG00000003531,71
ENSDARG00000003533,0
ENSDARG00000003544,14
ENSDARG00000003553,0
ENSDARG00000003564,27
ENSDARG00000003570,59
ENSDARG00000003573,8
ENSDARG00000003576,0
ENSDARG00000003584,19
ENSDARG00000003592,0
ENSDARG00000003599,2674
ENSDARG00000003607,16
ENSDARG00000003615,1
ENSDARG00000003616,80
ENSDARG00000003631,121
ENSDARG00000003632,1
ENSDARG00000003635,1
ENSDARG00000003641,20
ENSDARG00000003642,18
ENSDARG00000003655,217
ENSDARG00000003675,0
ENSDARG00000003680,209
ENSDARG00000003681,114
ENSDARG00000003684,18
ENSDARG00000003693,31
ENSDARG00000003695,259
ENSDARG00000003697,3
ENSDARG00000003699,25
ENSDARG00000003701,0
ENSDARG00000003705,109
ENSDARG00000003706,12
ENSDARG00000003732,0
ENSDARG00000003749,0
ENSDARG00000003750,38
ENSDARG00000003751,34
ENSDARG00000003754,58
ENSDARG00000003757,0
ENSDARG00000003769,24
ENSDARG00000003776,39
ENSDARG00000003779,68
ENSDARG00000003789,423
ENSDARG00000003795,448
ENSDARG00000003797,1
ENSDARG00000003803,0
ENSDARG00000003808,42
ENSDARG00000003811,172
ENSDARG00000003818,53
ENSDARG00000003820,278
ENSDARG00000003822,9
ENSDARG00000003827,6
ENSDARG00000003829,74
ENSDARG00000003835,192
ENSDARG00000003841,1
ENSDARG00000003845,39
ENSDARG00000003846,0
ENSDARG00000003854,74
ENSDARG00000003860,51
ENSDARG00000003865,16
ENSDARG00000003866,12
ENSDARG00000003867,6
ENSDARG00000003869,12
ENSDARG00000003872,21
ENSDARG00000003877,88
ENSDARG00000003899,16
ENSDARG00000003900,4
ENSDARG00000003902,191
ENSDARG00000003903,12
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,83
ENSDARG00000003920,57
ENSDARG00000003925,0
ENSDARG00000003927,11
ENSDARG00000003931,26
ENSDARG00000003934,0
ENSDARG00000003938,50
ENSDARG00000003940,36
ENSDARG00000003941,0
ENSDARG00000003944,0
ENSDARG00000003952,185
ENSDARG00000003961,20
ENSDARG00000003963,16
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,4
ENSDARG00000003971,4
ENSDARG00000003973,20
ENSDARG00000003974,25
ENSDARG00000003977,0
ENSDARG00000003984,17
ENSDARG00000003989,61
ENSDARG00000003991,14
ENSDARG00000003994,2
ENSDARG00000003998,32
ENSDARG00000004015,0
ENSDARG00000004017,12
ENSDARG00000004018,0
ENSDARG00000004023,182
ENSDARG00000004034,43
ENSDARG00000004037,18
ENSDARG00000004046,0
ENSDARG00000004049,22
ENSDARG00000004051,7
ENSDARG00000004055,52
ENSDARG00000004059,0
ENSDARG00000004060,268
ENSDARG00000004074,155
ENSDARG00000004078,10
ENSDARG00000004082,6
ENSDARG00000004094,73
ENSDARG00000004105,33
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,11
ENSDARG00000004115,46
ENSDARG00000004130,1
ENSDARG00000004131,97
ENSDARG00000004132,65
ENSDARG00000004150,13
ENSDARG00000004151,22
ENSDARG00000004154,5
ENSDARG00000004158,8
ENSDARG00000004160,9
ENSDARG00000004161,52
ENSDARG00000004167,0
ENSDARG00000004169,15
ENSDARG00000004171,10
ENSDARG00000004173,72
ENSDARG00000004174,164
ENSDARG00000004176,1
ENSDARG00000004177,15
ENSDARG00000004184,57
ENSDARG00000004187,35
ENSDARG00000004189,34
ENSDARG00000004196,43
ENSDARG00000004199,1
ENSDARG00000004204,0
ENSDARG00000004211,7
ENSDARG00000004218,18
ENSDARG00000004219,0
ENSDARG00000004227,50
ENSDARG00000004232,10
ENSDARG00000004243,0
ENSDARG00000004246,82
ENSDARG00000004251,25
ENSDARG00000004256,0
ENSDARG00000004260,14
ENSDARG00000004261,57
ENSDARG00000004262,10
ENSDARG00000004270,29
ENSDARG00000004274,0
ENSDARG00000004280,0
ENSDARG00000004282,30
ENSDARG00000004291,64
ENSDARG00000004296,43
ENSDARG00000004297,164
ENSDARG00000004301,0
ENSDARG00000004302,27
ENSDARG00000004305,38
ENSDARG00000004306,22
ENSDARG00000004307,0
ENSDARG00000004308,3
ENSDARG00000004311,43
ENSDARG00000004318,0
ENSDARG00000004322,9
ENSDARG00000004325,32
ENSDARG00000004328,0
ENSDARG00000004336,65
ENSDARG00000004343,13
ENSDARG00000004358,19
ENSDARG00000004363,45
ENSDARG00000004372,57
ENSDARG00000004377,87
ENSDARG00000004378,31
ENSDARG00000004386,117
ENSDARG00000004392,2
ENSDARG00000004396,0
ENSDARG00000004402,3
ENSDARG00000004405,6
ENSDARG00000004406,13
ENSDARG00000004415,120
ENSDARG00000004427,0
ENSDARG00000004433,0
ENSDARG00000004436,1
ENSDARG00000004445,7
ENSDARG00000004447,1
ENSDARG00000004451,8
ENSDARG00000004452,225
ENSDARG00000004455,0
ENSDARG00000004459,3
ENSDARG00000004460,5
ENSDARG00000004470,51
ENSDARG00000004472,6
ENSDARG00000004473,7
ENSDARG00000004492,17
ENSDARG00000004497,12
ENSDARG00000004498,0
ENSDARG00000004502,9
ENSDARG00000004517,6
ENSDARG00000004525,29
ENSDARG00000004527,5
ENSDARG00000004529,0
ENSDARG00000004537,398
ENSDARG00000004539,18
ENSDARG00000004561,9
ENSDARG00000004574,42
ENSDARG00000004576,14
ENSDARG00000004580,12
ENSDARG00000004581,35
ENSDARG00000004586,0
ENSDARG00000004587,20
ENSDARG00000004588,448
ENSDARG00000004592,11
ENSDARG00000004594,27
ENSDARG00000004597,56
ENSDARG00000004598,0
ENSDARG00000004616,0
ENSDARG00000004618,1
ENSDARG00000004621,190
ENSDARG00000004627,0
ENSDARG00000004632,6
ENSDARG00000004633,2
ENSDARG00000004634,18
ENSDARG00000004635,66
ENSDARG00000004636,47
ENSDARG00000004643,39
ENSDARG00000004647,0
ENSDARG00000004648,0
ENSDARG00000004658,31
ENSDARG00000004672,205
ENSDARG00000004680,19
ENSDARG00000004687,14
ENSDARG00000004692,60
ENSDARG00000004695,2
ENSDARG00000004696,20
ENSDARG00000004697,26
ENSDARG00000004702,106
ENSDARG00000004706,33
ENSDARG00000004712,6
ENSDARG00000004713,0
ENSDARG00000004714,123
ENSDARG00000004721,2
ENSDARG00000004724,32
ENSDARG00000004726,19
ENSDARG00000004735,131
ENSDARG00000004745,17
ENSDARG00000004748,35
ENSDARG00000004753,25
ENSDARG00000004754,14
ENSDARG00000004757,902
ENSDARG00000004763,1
