	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
394129	3.166690985	3.032308283	3.448618503	3.002430331	2.885679321	2.715249446	3.233346623	3.042363543	3.215287592	3.494923776	2.751089601	3.393500008	3.030551976	2.517793895	3.236567947	3.119602935	3.454788662	3.054697468	3.141182214	3.610843869	3.301571585
394130	4.073640981	3.588011804	4.164164952	3.963913583	3.844147595	3.643027241	4.241482232	3.619951385	3.780346869	4.125076111	3.585483371	4.034898799	4.130504946	3.488683683	4.017330258	3.862453317	3.60469249	3.840480661	3.5661777	3.769993091	3.847633847
394131	4.992422636	5.107296157	5.064844267	4.953413579	5.13359971	5.132246829	4.899074458	4.975290461	4.793435563	4.816301335	4.954222161	5.041476936	5.037780671	4.789745709	4.900490507	4.736376345	4.729671564	4.992151552	4.844850139	4.737527901	4.958176949
394132	6.610934062	6.320842723	6.415444308	6.215811718	6.240576283	6.304791309	6.195847611	6.298027208	6.247890248	6.286219766	6.225140402	6.483991391	6.386812224	6.254890454	6.458932575	6.43355746	6.681575689	6.267983393	6.134218364	6.552396887	6.438466596
394133	6.04682174	5.950347776	5.946055377	5.818918393	5.799038185	5.837725725	5.598451903	5.79720095	5.711889403	5.590361514	5.85977738	5.699275891	5.654605098	5.928107435	5.849881937	5.489377135	5.903720544	5.810570377	5.746076422	5.653043845	5.494085425
394135	5.880062618	5.694609177	5.869594294	5.93895015	5.802338623	5.762337781	5.899849393	5.61980289	5.912184991	5.881204707	5.600873661	5.965827993	5.845043707	5.674903108	5.976590432	5.848976723	5.997975667	5.741320284	5.676228911	6.161626071	5.852086804
394136	6.124318551	6.025509019	6.176945728	6.123565293	5.877280218	6.000825734	6.084941292	5.914472579	5.982860005	6.074490631	5.853526965	5.989442294	6.047783206	5.90742744	6.199928197	6.076009664	6.231810602	6.097390803	5.896123924	6.085188735	5.950519687
394137	3.607297073	3.511639536	3.699697547	3.62332461	3.503813922	3.513497618	3.598906391	3.535461263	3.650582624	3.627293597	3.560118651	3.833136257	3.543286764	3.658755099	3.781699932	3.534137813	3.744789358	3.495450398	3.505768857	3.527466587	3.660879879
394138	3.699225352	3.583044194	4.596980068	3.894343814	3.108228495	3.513497618	4.104867329	2.869069658	3.140812399	3.849566448	2.760028403	3.273241438	3.758726624	2.772452452	3.318746469	3.669979825	3.628229245	4.024889986	3.167418359	3.792145859	3.95606534
394139	2.568724063	2.742673154	2.569680187	2.513900156	1.949529257	2.484517387	2.380265997	2.216744914	1.911740743	2.287539445	2.133927643	1.845590573	2.525338609	2.050787269	2.198903458	2.005539506	1.971313597	2.24524437	2.23902457	2.032154391	2.389612386
