	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
558333	7.2623344065	6.9855153715	7.2237660925	6.9411575245	6.7667542685	7.2882010085	6.9919564335	7.0462901995	7.1061752695	7.0503983915	6.9163428105	6.9106450975	7.3810524975	6.8545548755	7.1471389505	7.1455250275	7.0913249855	6.9719690215	6.7331083925	7.0846759695	7.2973536405
100006043	8.8514472265	8.3454835775	8.7661056435	8.3951951105	8.7722196275	8.4420791545	8.3471025245	8.8256348565	8.6098367475	8.2874816725	8.8590771205	8.6118258025	8.4788261805	8.9594992065	8.6687601245	8.3515828365	8.8730132255	8.5190463585	8.6239302635	8.5261810565	8.4806116855
571844	4.1336433555	4.4648003185	5.1584849675	5.2720735785	3.8473850075	4.4602310845	5.4224486195	3.8978636025	5.5201695795	4.7896224615	4.6854690095	4.9847866405	5.4384601305	4.6184467605	5.0623681755	5.0181316125	4.9914244645	4.3134896295	4.8734815975	5.0432483355	4.8228792735
100002334	6.4239902855	5.9618062545	6.2504002475	5.5663143555	6.3205168735	6.2140542495	5.8266105215	6.3880794435	5.3091562275	5.5363542935	6.0097380515	5.7038107235	6.0570118855	5.7457100025	5.8220640625	5.8182468205	5.2836924705	6.0616376095	5.9679267645	4.6094096695	5.3384065765
564383	7.4404013155	7.1915378605	7.9600918875	7.2656566065	7.3882087045	7.6692633205	7.7822149725	7.4158116835	7.5107967525	7.4048690685	7.3537161485	7.5866391195	7.7647094725	7.0624905695	7.6812187285	7.1287402055	7.8406488165	7.4264712985	7.0515379565	7.8611286545	7.3932062115
326102	9.3541984165	9.4708943745	9.6245673505	9.5429636605	9.1643919435	9.3814116635	9.1512445345	9.1668222595	9.2198968385	9.1406420705	9.2077999695	9.3256748755	9.3695044765	9.1164603145	9.3471057075	9.2133268835	9.1861286735	9.3813403915	9.2504863325	9.2119763095	9.1024610155
565077	9.1887445585	9.2956617295	9.4958896555	9.3924321345	8.9637638995	9.3469328665	9.2559578405	9.0105300415	9.0273887065	9.1149517995	9.0072997675	9.2186608375	9.2628054045	8.7200633135	9.2982945145	8.9868066725	9.0010424305	9.3703277385	8.6773728935	8.9845419725	9.1006873715
415167	7.9533845235	7.9273890515	8.1770718405	8.1223334375	7.8429868685	7.9070552945	8.0084759975	7.9315933575	8.0541318205	8.2928830225	7.7401791315	8.2262637655	8.0438750705	7.7555503665	8.2857850635	8.1500791605	8.1420084845	7.8660656705	8.0106216785	8.5328678835	8.4530736445
402816	9.2761146545	9.4844674075	9.5400698015	9.5212830525	9.4225425125	9.5536153375	9.3280981215	9.2299860115	9.0162470825	9.3140247925	9.1330055395	9.3270680055	9.5009862155	8.9748745785	9.3830636275	9.1537342495	8.9564759515	9.4129886645	9.3034373765	9.2326603335	9.4434391265
114550	7.9684527485	8.1412831825	8.3054843955	8.2139965665	7.7855133115	7.7211947025	7.8997765735	7.7559024685	7.8236011655	7.9438799785	7.7401791315	7.8688707635	8.1173251095	7.5356683195	8.0741306685	7.9287768315	7.8159151545	7.8450059165	8.0492929375	7.7959120765	7.9131465805
553290	6.6834124605	6.5104996755	7.0875054785	6.5948137145	6.4051440905	6.4512053705	6.5930836265	6.6276776695	6.5487119325	6.4787632355	6.2474740355	6.5682758665	6.4531573805	6.2835996715	6.8055431045	6.5135237205	6.7168965735	6.6645963715	6.7798504025	6.3537921945	6.5517213905
562171	6.2864651595	6.2041975025	6.0202369265	6.1217701365	5.7655452185	6.5692518005	5.9012722715	6.2798633005	6.0915683565	5.7239845815	6.3709648445	5.6153589735	6.0252247245	5.9059593795	5.8028852325	5.6559088865	6.0208135225	6.4088139545	5.7737555605	5.9362570195	5.8584534245
572548	8.1512363945	7.8911608455	8.2211582815	7.9194364585	7.8473145105	8.0849555515	8.1032443305	7.9449433815	7.7083342215	8.0813215375	7.6108520585	7.8803032965	8.0752583585	7.6515350145	8.0701256765	7.8861350775	7.9162866275	7.9959350545	7.5261176785	8.1707784435	8.0554532175
564207	8.6133844845	8.7878396135	8.8643641275	8.7734806015	8.8389336275	8.8574998875	8.7640505335	8.5566716785	8.4643868055	8.4413238945	8.4991550275	8.7197076615	8.6836035745	8.4961928265	8.7783734245	8.6800734265	8.6345402375	8.7419020615	8.7554613205	8.7202896865	8.4968856825
564279	4.3789209535	5.1496379925	5.1884042015	4.4562605155	6.7297286705	5.1062864165	4.7661586435	4.8718989085	4.7633282055	4.5216800325	4.6854690095	4.4832063325	4.6569833285	4.9704925165	4.0855487875	5.6402033605	5.0771817965	5.7004971845	5.0363441915	4.6591551535	5.4089018795
567331	9.0145873555	9.1869592995	9.3110683365	9.5275108295	9.2338008405	9.1207258715	9.0950976305	8.8471251485	8.7524390715	8.9724382545	8.7540912305	8.8782555335	9.1768087325	8.0528892905	8.8266508455	8.4517034845	8.3371456065	9.1183148435	8.9621183725	8.5361997095	8.8929820535
568915	8.0343774495	8.1515291385	8.3156868595	8.2781905245	7.6233856435	8.0492825465	7.8814511295	7.8200980425	7.6422289305	7.7572056675	7.7897151235	7.8840940965	8.1979485145	7.3679363185	8.1557650595	7.9480404485	7.4751374835	8.2771460765	7.8169060965	7.4802309065	7.8427385745
641484	12.0241146755	11.5255000535	12.0527633455	11.8452430585	11.7040389375	11.6783004275	12.0783095055	11.6901898205	11.7490370735	12.1726027595	11.4789527205	11.9823724315	11.9249260295	11.4928959585	11.9924034835	11.9574975095	12.0806580405	11.8329018605	11.6329902965	12.2089704125	12.0543967065
58150	7.0661742895	7.1237680035	7.3079442755	7.2656566065	6.9469310755	6.6187682435	6.8408162905	7.0128742025	6.9167881695	6.8597550925	7.1686632345	6.8806001015	7.1352141135	7.0414025445	7.1772393915	6.9992953735	6.9393095555	7.0291037925	6.7211823725	6.9209999955	6.7904786315
678549	8.1178376575	8.1751571275	7.9901293295	7.9003668525	8.0857490585	8.0672293055	7.7979334575	8.1471339855	7.8628309805	7.9091311845	8.0776937315	7.6898679505	7.9872559855	8.0867351145	7.7727766785	7.9795856775	7.8809520005	7.9742779235	8.3496241685	7.6862163645	7.8427385745
767769	4.5489450055	4.5079712905	4.6996734865	4.6962956345	5.2681254845	5.0711434025	4.7661586435	4.8718989085	4.8551214475	5.1164419395	4.7953791855	4.6348966805	5.0534841345	4.1906018715	5.3268834205	5.1570485535	4.8360921525	4.9283099245	4.5884798445	5.0802383685	4.5592084295
