C10,Counts
ENSDARG00000004470,58
ENSDARG00000004472,44
ENSDARG00000004473,37
ENSDARG00000004492,24
ENSDARG00000004497,0
ENSDARG00000004498,0
ENSDARG00000004502,29
ENSDARG00000004517,6
ENSDARG00000004525,8
ENSDARG00000004527,2
ENSDARG00000004529,0
ENSDARG00000004537,607
ENSDARG00000004539,18
ENSDARG00000004561,5
ENSDARG00000004574,3
ENSDARG00000004576,12
ENSDARG00000004580,72
ENSDARG00000004581,68
ENSDARG00000004586,7
ENSDARG00000004587,12
ENSDARG00000004588,474
ENSDARG00000004592,13
ENSDARG00000004594,54
ENSDARG00000004597,39
ENSDARG00000004598,0
ENSDARG00000004616,8
ENSDARG00000004618,4
ENSDARG00000004621,329
ENSDARG00000004627,0
ENSDARG00000004632,0
ENSDARG00000004633,1
ENSDARG00000004634,334
ENSDARG00000004635,117
ENSDARG00000004636,49
ENSDARG00000004643,81
ENSDARG00000004647,6
ENSDARG00000004648,0
ENSDARG00000004658,51
ENSDARG00000004672,89
ENSDARG00000004680,14
ENSDARG00000004687,16
ENSDARG00000004692,32
ENSDARG00000004695,0
ENSDARG00000004696,39
ENSDARG00000004697,12
ENSDARG00000004702,58
ENSDARG00000004706,71
ENSDARG00000004712,38
ENSDARG00000004713,3
ENSDARG00000004714,125
ENSDARG00000004721,13
ENSDARG00000004724,43
ENSDARG00000004726,69
ENSDARG00000004735,236
ENSDARG00000004745,68
ENSDARG00000004748,17
ENSDARG00000004753,42
ENSDARG00000004754,19
ENSDARG00000004757,1146
ENSDARG00000004763,14
ENSDARG00000004771,19
ENSDARG00000004774,59
ENSDARG00000004782,220
ENSDARG00000004785,113
ENSDARG00000004789,110
ENSDARG00000004794,5
ENSDARG00000004796,112
ENSDARG00000004806,4
ENSDARG00000004823,0
ENSDARG00000004830,105
ENSDARG00000004836,196
ENSDARG00000004840,29
ENSDARG00000004843,82
ENSDARG00000004851,14
ENSDARG00000004861,125
ENSDARG00000004864,0
ENSDARG00000004866,31
ENSDARG00000004869,1
ENSDARG00000004870,34
ENSDARG00000004871,3
ENSDARG00000004874,0
ENSDARG00000004875,19
ENSDARG00000004877,147
ENSDARG00000004880,3
ENSDARG00000004889,22
ENSDARG00000004891,17
ENSDARG00000004898,0
ENSDARG00000004904,6
ENSDARG00000004906,121
ENSDARG00000004925,2
